geoName,geoCode,travaux rénovation,paysagiste,Gazon synthétique,piscine semi enterrée,apprendre anglais
Alsace,FR-A,2,57,17,16,8
Aquitaine,FR-B,1,40,30,19,10
Auvergne,FR-C,1,43,25,23,8
Brittany,FR-E,1,68,13,9,9
Burgundy,FR-D,0,52,21,19,8
Centre-Val de Loire,FR-F,2,47,18,22,11
Champagne-Ardenne,FR-G,0,39,24,26,11
Corsica,FR-H,0,45,42,0,13
Franche-Comté,FR-I,2,47,16,24,11
Languedoc-Roussillon,FR-K,1,26,58,8,7
Limousin,FR-L,11,55,14,11,9
Lorraine,FR-M,3,41,21,29,6
Lower Normandy,FR-P,1,62,17,7,13
Midi-Pyrénées,FR-N,1,35,34,19,11
Nord-Pas-de-Calais,FR-O,2,39,28,18,13
Pays de la Loire,FR-R,2,58,15,17,8
Picardy,FR-S,2,47,19,21,11
Poitou-Charentes,FR-T,2,53,20,18,7
Provence-Alpes-Côte d'Azur,FR-U,3,22,60,6,9
Rhone-Alpes,FR-V,2,47,25,15,11
Upper Normandy,FR-Q,1,48,17,23,11
Île-de-France,FR-J,5,43,23,11,18
