date,travaux rénovation,Gazon synthétique,piscine semi enterrée,apprendre anglais,Coach sportif,Installation climatisation,Artisan peintre,jardiner,paysagiste,moustiquaire porte,Cours de cuisine,panneau solaire,Cours de yoga,reparation store,store banne
2018-01-07,0.0,16.58407994486561,0.0,27.314955203308063,54.629910406616126,0.0,0.0,16.58407994486561,13,0,6,32,0,0,9
2018-01-14,0.0,0.0,0.0,40.9724328049621,27.314955203308063,0.0,16.58407994486561,16.58407994486561,13,0,13,21,6,6,11
2018-01-21,0.0,16.58407994486561,0.0,16.58407994486561,75.11612680909717,0.0,16.58407994486561,16.58407994486561,24,6,10,39,6,0,0
2018-01-28,0.0,16.58407994486561,0.0,33.16815988973122,49.75223983459683,0.0,0.0,22.437284631288765,19,0,10,23,0,0,6
2018-02-04,0.0,16.58407994486561,0.0,27.314955203308063,39.021364576154376,0.0,0.0,33.16815988973122,30,0,13,26,0,0,6
2018-02-11,0.0,0.0,0.0,22.437284631288765,56.58097863542385,0.0,16.58407994486561,16.58407994486561,11,0,13,22,6,0,12
2018-02-18,0.0,17.55961405926947,0.0,50.72777394900069,39.99689869055823,0.0,0.0,34.14369400413508,13,0,0,24,6,0,6
2018-02-25,16.58407994486561,16.58407994486561,0.0,28.290489317711923,39.021364576154376,0.0,25.363886974500346,33.16815988973122,22,7,7,28,0,0,6
2018-03-04,16.58407994486561,0.0,16.58407994486561,22.437284631288765,57.556512749827704,0.0,0.0,27.314955203308063,17,0,10,24,6,0,14
2018-03-11,16.58407994486561,32.19262577532736,0.0,27.314955203308063,21.461750516884905,0.0,16.58407994486561,21.461750516884905,25,0,13,27,0,6,25
2018-03-18,16.58407994486561,16.58407994486561,16.58407994486561,16.58407994486561,48.77670572019297,15.60854583046175,32.19262577532736,27.314955203308063,25,6,6,29,6,0,8
2018-03-25,24.388352860096486,40.9724328049621,24.388352860096486,38.04583046175052,71.21399035148174,16.58407994486561,0.0,32.19262577532736,23,0,6,23,8,0,11
2018-04-01,24.388352860096486,27.314955203308063,0.0,33.16815988973122,40.9724328049621,0.0,33.16815988973122,74.14059269469331,23,6,10,28,6,0,22
2018-04-08,0.0,40.9724328049621,0.0,24.388352860096486,27.314955203308063,0.0,0.0,60.48311509303928,34,0,9,21,6,0,14
2018-04-15,0.0,46.82563749138525,17.55961405926947,26.339421088904203,29.26602343211578,0.0,0.0,58.53204686423156,30,11,14,25,6,0,24
2018-04-22,0.0,22.437284631288765,16.58407994486561,22.437284631288765,50.72777394900069,16.58407994486561,0.0,62.434183321847,28,0,7,17,6,0,12
2018-04-29,17.55961405926947,17.55961405926947,0.0,17.55961405926947,35.11922811853894,0.0,0.0,70.23845623707788,18,7,7,20,15,0,27
2018-05-06,0.0,35.11922811853894,17.55961405926947,35.11922811853894,17.55961405926947,0.0,17.55961405926947,46.82563749138525,30,7,10,23,0,0,54
2018-05-13,16.58407994486561,16.58407994486561,0.0,48.77670572019297,33.16815988973122,0.0,0.0,71.21399035148174,21,6,6,27,0,0,31
2018-05-20,0.0,28.290489317711923,16.58407994486561,16.58407994486561,34.14369400413508,16.58407994486561,25.363886974500346,16.58407994486561,16,0,0,28,0,0,32
2018-05-27,16.58407994486561,0.0,16.58407994486561,21.461750516884905,48.77670572019297,0.0,16.58407994486561,21.461750516884905,15,6,8,25,6,6,47
2018-06-03,16.58407994486561,16.58407994486561,33.16815988973122,16.58407994486561,33.16815988973122,0.0,0.0,39.021364576154376,26,6,11,26,17,6,28
2018-06-10,0.0,21.461750516884905,0.0,26.339421088904203,15.60854583046175,0.0,15.60854583046175,26.339421088904203,28,6,12,33,0,0,19
2018-06-17,33.16815988973122,65.36078566505859,33.16815988973122,33.16815988973122,22.437284631288765,0.0,0.0,57.556512749827704,30,6,11,30,11,0,26
2018-06-24,0.0,33.16815988973122,16.58407994486561,16.58407994486561,22.437284631288765,0.0,0.0,16.58407994486561,17,0,6,24,12,0,29
2018-07-01,16.58407994486561,22.437284631288765,25.363886974500346,16.58407994486561,22.437284631288765,16.58407994486561,16.58407994486561,16.58407994486561,22,7,7,11,9,0,43
2018-07-08,0.0,28.290489317711923,26.339421088904203,26.339421088904203,17.55961405926947,0.0,17.55961405926947,42.92350103376981,22,0,0,20,0,6,27
2018-07-15,0.0,37.070296347346655,18.535148173673328,0.0,37.070296347346655,0.0,0.0,18.535148173673328,18,7,0,24,0,0,32
2018-07-22,0.0,18.535148173673328,31.2170916609235,18.535148173673328,55.60544452101998,24.388352860096486,18.535148173673328,0.0,14,22,7,26,6,0,29
2018-07-29,18.535148173673328,18.535148173673328,18.535148173673328,31.2170916609235,43.899035148173674,37.070296347346655,18.535148173673328,31.2170916609235,15,0,7,17,0,0,32
2018-08-05,19.510682288077188,0.0,25.363886974500346,28.290489317711923,44.87456926257753,39.021364576154376,0.0,19.510682288077188,15,15,7,19,7,0,30
2018-08-12,19.510682288077188,19.510682288077188,0.0,19.510682288077188,32.19262577532736,0.0,0.0,39.021364576154376,23,15,8,20,7,0,17
2018-08-19,18.535148173673328,18.535148173673328,18.535148173673328,50.72777394900069,38.04583046175052,0.0,18.535148173673328,38.04583046175052,22,0,10,20,0,0,13
2018-08-26,17.55961405926947,17.55961405926947,17.55961405926947,26.339421088904203,43.899035148173674,0.0,0.0,23.412818745692626,30,0,7,23,18,0,18
2018-09-02,0.0,17.55961405926947,17.55961405926947,45.850103376981394,45.850103376981394,0.0,17.55961405926947,0.0,22,7,13,29,21,0,9
2018-09-09,25.363886974500346,16.58407994486561,0.0,68.28738800827016,56.58097863542385,0.0,16.58407994486561,16.58407994486561,15,0,10,26,6,6,12
2018-09-16,16.58407994486561,0.0,16.58407994486561,49.75223983459683,41.94796691936595,0.0,33.16815988973122,27.314955203308063,26,0,11,17,0,0,9
