date,travaux rénovation,paysagiste,piscine semi enterrée,apprendre anglais,Coach sportif,Installation climatisation,Artisan peintre,jardiner,Gazon synthétique,moustiquaire porte,Cours de cuisine,panneau solaire,Cours de yoga,reparation store,store banne
2018-01-07,0.0,29.465575794998454,0.0,11.17659771534424,16.256869404137078,8.128434702068539,0.0,8.128434702068539,8,8,8,31,16,0,15
2018-01-14,0.0,19.30503241741278,0.0,13.208706390861376,12.192652053102808,8.128434702068539,16.256869404137078,11.17659771534424,18,8,8,44,8,0,8
2018-01-21,0.0,34.54584748379129,0.0,13.208706390861376,16.256869404137078,8.128434702068539,11.17659771534424,12.192652053102808,13,0,8,31,8,0,15
2018-01-28,0.0,12.192652053102808,8.128434702068539,12.192652053102808,25.401358443964185,0.0,8.128434702068539,14.224760728619943,16,8,16,32,16,0,12
2018-02-04,8.128434702068539,18.288978079654214,0.0,8.128434702068539,24.385304106205616,0.0,13.208706390861376,10.160543377585673,8,0,12,36,0,0,8
2018-02-11,0.0,28.449521457239886,0.0,24.385304106205616,8.128434702068539,8.128434702068539,8.128434702068539,12.192652053102808,16,0,8,31,12,0,8
2018-02-18,8.128434702068539,33.52979314603272,8.128434702068539,29.465575794998454,29.465575794998454,0.0,0.0,11.17659771534424,19,8,8,27,0,0,24
2018-02-25,0.0,29.465575794998454,8.128434702068539,12.192652053102808,16.256869404137078,15.24081506637851,0.0,10.160543377585673,15,0,11,41,19,0,10
2018-03-04,0.0,34.54584748379129,8.128434702068539,12.192652053102808,16.256869404137078,12.192652053102808,0.0,21.337141092929915,28,8,8,23,8,0,13
2018-03-11,0.0,33.52979314603272,24.385304106205616,8.128434702068539,14.224760728619943,8.128434702068539,8.128434702068539,41.65822784810126,35,0,0,43,8,0,32
2018-03-18,8.128434702068539,43.6903365236184,8.128434702068539,13.208706390861376,24.385304106205616,0.0,16.256869404137078,16.256869404137078,26,0,8,39,8,0,24
2018-03-25,0.0,19.30503241741278,8.128434702068539,8.128434702068539,12.192652053102808,8.128434702068539,8.128434702068539,32.513738808274155,63,8,8,34,0,0,31
2018-04-01,0.0,44.70639086137696,0.0,11.17659771534424,11.17659771534424,8.128434702068539,8.128434702068539,24.385304106205616,37,8,8,27,8,0,24
2018-04-08,0.0,17.272923741895646,0.0,7.1123803643099714,15.24081506637851,0.0,0.0,20.321086755171347,34,0,7,29,0,0,22
2018-04-15,9.144489039827107,29.465575794998454,13.208706390861376,14.224760728619943,22.35319543068848,9.144489039827107,9.144489039827107,35.56190182154986,51,8,8,23,8,0,60
2018-04-22,0.0,31.497684470515587,17.272923741895646,0.0,20.321086755171347,0.0,8.128434702068539,22.35319543068848,33,14,8,38,8,0,49
