date,travaux rénovation,Gazon synthétique,piscine semi enterrée,apprendre anglais,Coach sportif,Installation climatisation,Artisan peintre,jardiner,paysagiste,moustiquaire porte,Cours de cuisine,panneau solaire,Cours de yoga,reparation store,store banne
2018-01-07,0.0,21.66194523135033,0.0,44.40698772426818,33.57601510859301,0.0,0.0,0.0,12,0,12,61,12,0,0
2018-01-14,21.66194523135033,0.0,0.0,43.32389046270066,21.66194523135033,0.0,0.0,21.66194523135033,24,12,25,24,0,0,0
2018-01-21,21.66194523135033,21.66194523135033,0.0,21.66194523135033,33.57601510859301,21.66194523135033,0.0,0.0,20,0,12,30,0,0,12
2018-01-28,0.0,21.66194523135033,0.0,36.82530689329556,32.492917847025495,0.0,0.0,21.66194523135033,32,0,0,36,0,0,0
2018-02-04,0.0,0.0,0.0,21.66194523135033,21.66194523135033,0.0,0.0,41.15769593956563,23,0,12,31,0,0,12
2018-02-11,0.0,21.66194523135033,21.66194523135033,21.66194523135033,29.243626062322946,0.0,0.0,0.0,18,0,12,20,12,0,12
2018-02-18,0.0,0.0,0.0,45.49008498583569,33.57601510859301,0.0,0.0,33.57601510859301,25,12,12,45,0,0,50
2018-02-25,0.0,0.0,0.0,33.57601510859301,51.98866855524079,0.0,0.0,0.0,21,12,12,21,12,0,17
2018-03-04,0.0,0.0,0.0,44.40698772426818,33.57601510859301,0.0,0.0,44.40698772426818,29,0,12,21,0,0,19
2018-03-11,22.745042492917847,0.0,0.0,45.49008498583569,22.745042492917847,22.745042492917847,0.0,22.745042492917847,17,0,21,25,12,0,25
2018-03-18,0.0,21.66194523135033,22.745042492917847,22.745042492917847,22.745042492917847,0.0,0.0,21.66194523135033,37,0,0,30,12,0,16
2018-03-25,22.745042492917847,0.0,22.745042492917847,22.745042492917847,68.23512747875354,0.0,0.0,22.745042492917847,43,0,0,25,19,0,13
2018-04-01,0.0,44.40698772426818,0.0,22.745042492917847,55.23796033994334,0.0,0.0,44.40698772426818,29,0,0,12,12,0,29
2018-04-08,0.0,44.40698772426818,21.66194523135033,22.745042492917847,22.745042492917847,0.0,0.0,36.82530689329556,37,12,12,37,0,0,25
2018-04-15,0.0,23.828139754485363,0.0,23.828139754485363,47.65627950897073,0.0,0.0,47.65627950897073,20,26,13,26,0,0,49
2018-04-22,0.0,0.0,23.828139754485363,22.745042492917847,70.40132200188857,0.0,0.0,61.73654390934844,34,0,0,38,13,0,47
2018-04-29,0.0,22.745042492917847,0.0,0.0,0.0,0.0,0.0,31.40982058545798,17,0,13,26,0,0,65
2018-05-06,0.0,46.57318224740321,23.828139754485363,23.828139754485363,46.57318224740321,0.0,0.0,54.154863078375826,32,0,0,32,13,0,39
2018-05-13,0.0,22.745042492917847,0.0,22.745042492917847,22.745042492917847,0.0,0.0,45.49008498583569,25,0,12,46,12,0,21
2018-05-20,0.0,22.745042492917847,22.745042492917847,0.0,45.49008498583569,0.0,0.0,22.745042492917847,33,13,13,33,13,0,38
2018-05-27,22.745042492917847,0.0,22.745042492917847,0.0,22.745042492917847,22.745042492917847,0.0,67.15203021718602,29,0,12,21,12,0,33
2018-06-03,22.745042492917847,22.745042492917847,0.0,0.0,22.745042492917847,22.745042492917847,0.0,67.15203021718602,25,0,0,46,12,0,38
2018-06-10,21.66194523135033,21.66194523135033,0.0,21.66194523135033,32.492917847025495,0.0,0.0,0.0,43,0,12,24,0,0,24
2018-06-17,0.0,22.745042492917847,0.0,22.745042492917847,45.49008498583569,22.745042492917847,0.0,22.745042492917847,37,12,12,25,12,0,19
2018-06-24,0.0,0.0,0.0,45.49008498583569,30.326723323890462,0.0,0.0,57.404154863078375,30,13,0,30,0,0,38
2018-07-01,0.0,22.745042492917847,22.745042492917847,0.0,57.404154863078375,0.0,0.0,33.57601510859301,17,13,13,12,0,0,34
2018-07-08,23.828139754485363,23.828139754485363,23.828139754485363,46.57318224740321,70.40132200188857,0.0,0.0,23.828139754485363,22,13,0,26,13,0,48
2018-07-15,0.0,50.905571293673276,24.91123701605288,50.905571293673276,24.91123701605288,0.0,0.0,50.905571293673276,0,14,14,14,0,0,35
2018-07-22,0.0,25.994334277620396,25.994334277620396,25.994334277620396,24.91123701605288,24.91123701605288,0.0,24.91123701605288,28,14,14,23,14,0,42
2018-07-29,25.994334277620396,0.0,75.81680830972616,33.57601510859301,25.994334277620396,0.0,0.0,37.90840415486308,28,0,21,28,14,0,37
2018-08-05,0.0,25.994334277620396,43.32389046270066,0.0,38.991501416430594,0.0,0.0,0.0,19,0,14,21,0,0,29
2018-08-12,27.077431539187913,0.0,54.154863078375826,54.154863078375826,62.81964117091596,0.0,0.0,0.0,20,15,15,15,15,0,15
2018-08-19,0.0,0.0,25.994334277620396,38.991501416430594,50.905571293673276,0.0,0.0,50.905571293673276,38,0,0,42,14,0,19
2018-08-26,0.0,0.0,0.0,0.0,60.653446647780925,0.0,0.0,23.828139754485363,26,0,0,26,13,0,0
