date,wedding planner,clases primaria,Entrenador Personal,Fontanero,Psicólogo,Entrega a domicilio,Aire acondicionado,pinturas,portes
2018-01-07,0.0,0.0,6.56469615543613,13.12939231087226,0,0,13,17,17
2018-01-14,0.0,6.56469615543613,6.56469615543613,6.56469615543613,0,0,13,35,13
2018-01-21,0.0,0.0,13.12939231087226,19.69408846630839,9,0,17,23,13
2018-01-28,6.56469615543613,6.56469615543613,6.56469615543613,8.862339809838776,0,0,13,53,8
2018-02-04,0.0,6.236461347664324,6.236461347664324,12.801157503100454,0,0,16,46,8
2018-02-11,0.0,0.0,13.457627118644067,13.457627118644067,9,0,14,34,17
2018-02-18,0.0,0.0,6.56469615543613,16.73997519636213,9,0,21,60,9
2018-02-25,6.56469615543613,0.0,6.56469615543613,13.12939231087226,0,0,9,20,9
2018-03-04,0.0,0.0,6.56469615543613,13.457627118644067,0,0,26,40,9
2018-03-11,0.0,6.56469615543613,6.56469615543613,6.56469615543613,8,0,21,40,8
2018-03-18,0.0,0.0,6.56469615543613,13.12939231087226,8,0,8,31,0
2018-03-25,0.0,0.0,0.0,6.892930963207937,9,0,17,29,9
2018-04-01,0.0,0.0,6.892930963207937,13.785861926415874,0,0,9,53,0
2018-04-08,0.0,0.0,6.56469615543613,10.831748656469616,8,0,14,20,8
2018-04-15,0.0,0.0,10.175279040926002,6.892930963207937,0,0,26,41,0
2018-04-22,6.56469615543613,0.0,6.56469615543613,0.0,0,0,17,53,0
2018-04-29,6.56469615543613,0.0,0.0,19.69408846630839,0,0,17,31,17
2018-05-06,0.0,0.0,0.0,9.847044233154195,13,0,11,36,8
2018-05-13,0.0,0.0,6.56469615543613,0.0,9,0,17,51,13
2018-05-20,6.56469615543613,0.0,6.56469615543613,6.56469615543613,9,0,20,46,17
2018-05-27,0.0,6.56469615543613,6.236461347664324,9.51880942538239,8,0,17,47,25
2018-06-03,0.0,0.0,6.236461347664324,0.0,0,0,25,41,8
2018-06-10,0.0,0.0,0.0,6.236461347664324,0,0,21,32,8
2018-06-17,0.0,6.892930963207937,6.892930963207937,10.175279040926002,9,9,50,50,9
2018-06-24,6.892930963207937,0.0,6.892930963207937,13.457627118644067,9,0,61,23,9
2018-07-01,6.56469615543613,6.56469615543613,6.56469615543613,13.12939231087226,0,0,22,31,8
2018-07-08,6.56469615543613,0.0,0.0,6.56469615543613,9,0,100,46,14
2018-07-15,0.0,6.236461347664324,6.236461347664324,9.51880942538239,8,0,25,22,8
2018-07-22,6.56469615543613,0.0,13.457627118644067,6.56469615543613,0,9,34,60,9
2018-07-29,0.0,0.0,6.56469615543613,0.0,9,0,31,32,0
2018-08-05,0.0,0.0,6.56469615543613,9.51880942538239,0,0,61,30,0
2018-08-12,0.0,0.0,6.56469615543613,9.51880942538239,17,0,22,25,12
2018-08-19,0.0,0.0,25.602315006200907,6.56469615543613,0,0,14,31,8
2018-08-26,6.56469615543613,6.56469615543613,6.56469615543613,10.175279040926002,0,0,9,40,9
