geoName,geoCode,Gartenhilfe,Sprache lernen,Dachfenster,Solardach,Kochkurs
Baden-Württemberg,DE-BW,0,5,86,1,8
Bavaria,DE-BY,1,7,82,1,9
Berlin,DE-BE,1,14,69,1,15
Brandenburg,DE-BB,2,4,85,3,6
Bremen,DE-HB,0,10,82,0,8
Hamburg,DE-HH,1,11,74,1,13
Hesse,DE-HE,0,7,85,0,8
Lower Saxony,DE-NI,2,6,83,1,8
Mecklenburg-Vorpommern,DE-MV,0,3,93,0,4
North Rhine-Westphalia,DE-NW,1,7,83,1,8
Rhineland-Palatinate,DE-RP,1,5,84,1,9
Saarland,DE-SL,0,3,90,0,7
Saxony,DE-SN,0,3,90,1,6
Saxony-Anhalt,DE-ST,0,3,92,0,5
Schleswig-Holstein,DE-SH,3,6,80,2,9
Thuringia,DE-TH,0,3,92,0,5
