date,travaux rénovation,Gazon synthétique,piscine semi enterrée,apprendre anglais,paysagiste,Installation climatisation,Artisan peintre,jardiner,Coach sportif,moustiquaire porte,Cours de cuisine,panneau solaire,Cours de yoga,reparation store,store banne
2018-01-07,20.312814163077046,0.0,0.0,49.76639469953877,36.68015739179314,0.0,0.0,11.812254075323215,19,0,26,17,13,0,13
2018-01-14,0.0,20.312814163077046,0.0,20.312814163077046,30.463181562675658,0.0,0.0,0.0,13,13,0,17,13,0,13
2018-01-21,0.0,0.0,0.0,0.0,18.029229904440697,0.0,0.0,12.433951658234964,22,0,13,13,0,0,0
2018-01-28,0.0,0.0,0.0,20.312814163077046,11.812254075323215,0.0,11.812254075323215,11.812254075323215,25,0,19,38,0,0,25
2018-02-04,19.297173454923197,0.0,0.0,48.75075399138492,11.812254075323215,0.0,11.812254075323215,0.0,0,0,0,32,13,0,0
2018-02-11,20.312814163077046,20.312814163077046,0.0,59.9228017810773,36.68015739179314,0.0,0.0,11.812254075323215,19,0,13,26,19,0,13
2018-02-18,0.0,0.0,0.0,20.312814163077046,18.650927487352444,0.0,0.0,0.0,13,0,0,22,13,0,13
2018-02-25,0.0,20.312814163077046,20.312814163077046,20.312814163077046,24.867903316469928,0.0,0.0,12.433951658234964,26,0,26,20,39,0,13
2018-03-04,21.328454871230903,21.328454871230903,0.0,21.328454871230903,25.489600899381674,0.0,13.05564924114671,32.3282743114109,14,0,14,21,0,0,14
2018-03-11,0.0,0.0,0.0,0.0,24.867903316469928,0.0,0.0,37.30185497470489,13,0,26,31,13,0,27
2018-03-18,20.312814163077046,0.0,20.312814163077046,20.312814163077046,12.433951658234964,0.0,0.0,12.433951658234964,27,0,26,27,0,0,26
2018-03-25,0.0,0.0,20.312814163077046,40.62562832615409,31.084879145587408,0.0,0.0,18.650927487352444,13,0,13,20,13,0,33
2018-04-01,0.0,0.0,0.0,20.312814163077046,18.650927487352444,0.0,12.433951658234964,18.650927487352444,26,0,13,18,0,0,33
2018-04-08,0.0,20.312814163077046,0.0,0.0,31.084879145587408,0.0,0.0,24.867903316469928,13,0,13,22,0,0,27
2018-04-15,0.0,0.0,0.0,21.328454871230903,26.11129848229342,0.0,0.0,19.89432265317594,28,14,14,28,14,0,52
2018-04-22,0.0,0.0,20.312814163077046,20.312814163077046,37.30185497470489,0.0,0.0,24.867903316469928,13,13,0,49,13,0,53
2018-04-29,0.0,21.328454871230903,0.0,21.328454871230903,19.89432265317594,0.0,0.0,32.94997189432265,14,14,28,33,0,0,21
2018-05-06,0.0,33.51614336907713,22.344095579384756,22.344095579384756,27.354693648116918,13.677346824058459,0.0,47.870713884204605,22,0,0,37,15,0,54
2018-05-13,20.312814163077046,0.0,0.0,21.328454871230903,24.867903316469928,0.0,0.0,37.92355255761664,20,0,13,18,0,0,36
2018-05-20,0.0,0.0,0.0,20.312814163077046,12.433951658234964,0.0,0.0,18.650927487352444,27,0,27,20,0,0,45
2018-05-27,0.0,0.0,0.0,20.312814163077046,37.30185497470489,0.0,0.0,12.433951658234964,66,0,13,35,13,0,40
2018-06-03,0.0,20.312814163077046,20.312814163077046,20.312814163077046,12.433951658234964,0.0,0.0,18.650927487352444,13,13,27,27,13,0,53
2018-06-10,0.0,0.0,0.0,79.2199752360005,24.246205733558178,0.0,0.0,11.812254075323215,26,0,13,13,13,0,30
2018-06-17,0.0,21.328454871230903,21.328454871230903,0.0,31.706576728499154,0.0,0.0,25.489600899381674,14,0,14,20,14,0,27
2018-06-24,0.0,21.328454871230903,41.64126903430795,21.328454871230903,25.489600899381674,0.0,0.0,0.0,27,0,14,14,0,0,37
2018-07-01,0.0,40.62562832615409,61.954083197384996,0.0,18.650927487352444,0.0,0.0,24.867903316469928,0,0,13,31,0,0,31
