date,Psicólogo,wedding planner,clases primaria,Entrenador Personal,Fontanero,Entrega a domicilio,Aire acondicionado,pinturas,portes
2018-01-07,7.166666666666667,7.166666666666667,0.0,14.644927536231885,8,0,18,29,5
2018-01-14,0.0,0.0,0.0,21.18840579710145,9,4,13,30,4
2018-01-21,0.0,7.166666666666667,0.0,14.333333333333334,4,0,16,34,0
2018-01-28,6.855072463768116,6.855072463768116,0.0,17.13768115942029,13,0,26,33,4
2018-02-04,0.0,0.0,0.0,21.18840579710145,11,0,13,37,4
2018-02-11,7.478260869565217,0.0,7.478260869565217,7.478260869565217,14,0,12,41,0
2018-02-18,0.0,0.0,6.855072463768116,0.0,13,0,11,24,4
2018-02-25,6.543478260869565,6.543478260869565,0.0,6.543478260869565,4,0,17,37,4
2018-03-04,0.0,7.166666666666667,0.0,14.021739130434783,9,0,28,35,4
2018-03-11,0.0,0.0,0.0,7.166666666666667,7,4,27,27,4
2018-03-18,7.166666666666667,0.0,0.0,7.166666666666667,8,0,12,33,5
2018-03-25,0.0,0.0,0.0,14.956521739130434,8,5,19,19,5
2018-04-01,6.855072463768116,0.0,6.855072463768116,0.0,7,0,18,31,4
2018-04-08,6.855072463768116,6.855072463768116,0.0,0.0,6,4,17,40,0
2018-04-15,6.855072463768116,0.0,0.0,6.855072463768116,4,0,13,36,4
2018-04-22,13.710144927536232,13.710144927536232,0.0,20.8768115942029,13,4,26,37,6
2018-04-29,6.855072463768116,6.855072463768116,6.855072463768116,13.710144927536232,6,0,24,26,4
2018-05-06,13.08695652173913,0.0,0.0,19.318840579710145,8,4,22,19,4
2018-05-13,0.0,6.543478260869565,6.543478260869565,6.543478260869565,11,0,12,39,4
2018-05-20,0.0,0.0,0.0,6.543478260869565,7,4,30,21,0
2018-05-27,6.855072463768116,13.398550724637682,0.0,9.971014492753623,0,4,22,36,0
2018-06-03,0.0,6.543478260869565,0.0,19.630434782608695,4,0,38,47,0
2018-06-10,6.231884057971015,6.231884057971015,9.03623188405797,0.0,10,0,25,37,0
2018-06-17,6.543478260869565,0.0,9.659420289855072,9.659420289855072,12,0,36,26,4
2018-06-24,6.543478260869565,12.77536231884058,0.0,6.543478260869565,7,0,67,26,4
2018-07-01,6.543478260869565,6.543478260869565,0.0,9.659420289855072,5,0,59,27,4
2018-07-08,12.77536231884058,0.0,0.0,6.231884057971015,7,0,59,21,0
2018-07-15,0.0,0.0,0.0,6.543478260869565,7,0,35,38,6
2018-07-22,13.08695652173913,9.659420289855072,0.0,6.543478260869565,10,4,43,27,6
2018-07-29,6.543478260869565,6.543478260869565,0.0,12.77536231884058,9,4,40,30,4
2018-08-05,6.543478260869565,6.543478260869565,0.0,13.08695652173913,6,0,67,26,6
2018-08-12,0.0,20.253623188405797,0.0,0.0,6,0,62,27,4
2018-08-19,7.166666666666667,7.166666666666667,0.0,14.644927536231885,9,0,44,29,5
2018-08-26,0.0,7.166666666666667,7.166666666666667,14.021739130434783,9,0,34,41,4
2018-09-02,0.0,6.855072463768116,6.855072463768116,13.398550724637682,13,0,22,32,6
2018-09-09,6.543478260869565,13.08695652173913,6.543478260869565,6.543478260869565,8,0,34,26,4
2018-09-16,0.0,0.0,9.659420289855072,0.0,7,4,22,34,4
2018-09-23,12.77536231884058,0.0,0.0,6.231884057971015,7,0,50,36,4
2018-09-30,6.543478260869565,13.08695652173913,6.543478260869565,13.08695652173913,4,4,24,27,0
2018-10-07,0.0,6.543478260869565,6.543478260869565,0.0,11,4,22,36,0
2018-10-14,12.46376811594203,9.347826086956522,0.0,9.347826086956522,10,0,20,24,8
