geoName,geoCode,Psicólogo,wedding planner,clases primaria,Entrenador Personal,Fontanero
Andalusia,ES-AN,22,6,8,21,43
Aragon,ES-AR,15,4,6,31,44
Asturias,ES-AS,26,10,5,14,45
Balearic Islands,ES-IB,18,10,5,29,38
Basque Country,ES-PV,24,10,3,22,41
Canary Islands,ES-CN,24,8,7,22,39
Cantabria,ES-CB,24,0,0,28,48
Castile and León,ES-CL,21,5,16,16,42
Castile-La Mancha,ES-CM,22,4,7,21,46
Catalonia,ES-CT,20,11,5,29,35
Ceuta,ES-CE,0,0,0,0,0
Community of Madrid,ES-MD,22,8,8,29,33
Extremadura,ES-EX,13,9,10,21,47
Galicia,ES-GA,13,6,9,25,47
La Rioja,ES-RI,32,0,0,28,40
Melilla,ES-ML,0,0,0,0,0
Navarre,ES-NC,21,0,12,25,42
Region of Murcia,ES-MC,22,10,10,20,38
Valencian Community,ES-VC,16,8,6,25,45
