date,Psicólogo,wedding planner,clases primaria,Fontanero,Entrenador Personal,Entrega a domicilio,Aire acondicionado,pinturas,portes
2018-01-07,0.0,0.0,0.0,3.4608751197700416,2,0,14,10,2
2018-01-14,0.0,1.7304375598850208,0.0,5.191312679655062,3,0,12,8,0
2018-01-21,0.0,0.0,0.0,1.7304375598850208,3,2,10,13,2
2018-01-28,1.6343021398914084,1.6343021398914084,0.0,0.0,0,0,15,7,2
2018-02-04,1.7304375598850208,0.0,0.0,2.4995209198339188,2,0,18,12,2
2018-02-11,0.0,0.0,0.0,4.422229319706164,2,2,12,8,2
2018-02-18,1.7304375598850208,0.0,0.0,0.0,3,0,14,14,2
2018-02-25,0.0,0.0,0.0,2.4995209198339188,2,0,8,11,2
2018-03-04,0.0,0.0,0.0,1.6343021398914084,3,0,10,13,0
2018-03-11,0.0,0.0,1.6343021398914084,1.7304375598850208,2,0,13,15,3
2018-03-18,1.826572979878633,0.0,0.0,0.0,3,0,8,9,2
2018-03-25,0.0,0.0,1.9227083998722452,1.9227083998722452,2,2,7,7,2
2018-04-01,3.653145959757266,0.0,0.0,1.826572979878633,2,0,18,14,4
2018-04-08,3.364739699776429,1.7304375598850208,0.0,0.0,4,0,14,7,0
2018-04-15,0.0,0.0,0.0,1.7304375598850208,2,0,16,11,0
2018-04-22,1.6343021398914084,1.6343021398914084,0.0,2.4995209198339188,4,0,18,10,2
2018-04-29,0.0,0.0,1.7304375598850208,6.056531459597572,2,0,14,18,2
2018-05-06,0.0,1.6343021398914084,0.0,1.6343021398914084,4,0,23,12,2
2018-05-13,0.0,0.0,1.7304375598850208,2.595656339827531,0,0,17,11,0
2018-05-20,0.0,0.0,0.0,3.4608751197700416,0,0,39,17,4
2018-05-27,1.7304375598850208,0.0,0.0,3.4608751197700416,2,0,39,12,2
2018-06-03,0.0,0.0,1.6343021398914084,2.4995209198339188,2,0,29,10,2
2018-06-10,0.0,3.364739699776429,1.6343021398914084,0.0,0,0,26,15,2
2018-06-17,1.826572979878633,0.0,0.0,2.691791759821143,6,0,76,9,2
2018-06-24,0.0,3.557010539763654,0.0,1.7304375598850208,2,0,73,13,0
2018-07-01,1.826572979878633,0.0,0.0,1.826572979878633,4,0,83,8,0
2018-07-08,0.0,0.0,0.0,1.826572979878633,3,0,58,6,2
2018-07-15,1.826572979878633,0.0,0.0,2.787927179814756,3,0,59,8,4
2018-07-22,1.9227083998722452,0.0,0.0,1.9227083998722452,0,0,48,7,2
2018-07-29,1.9227083998722452,0.0,0.0,3.749281379750878,2,0,79,8,3
2018-08-05,0.0,0.0,0.0,6.5372085595656335,2,2,96,8,0
2018-08-12,1.9227083998722452,1.9227083998722452,0.0,1.9227083998722452,0,0,55,8,2
2018-08-19,0.0,1.9227083998722452,0.0,5.864260619610348,2,0,29,15,0
2018-08-26,1.826572979878633,0.0,0.0,1.826572979878633,3,0,37,7,0
2018-09-02,1.7304375598850208,0.0,1.7304375598850208,0.0,4,0,26,14,2
2018-09-09,1.6343021398914084,0.0,0.0,4.9990418396678376,7,0,18,12,0
2018-09-16,1.7304375598850208,0.0,1.7304375598850208,1.7304375598850208,0,0,19,13,0
2018-09-23,0.0,0.0,0.0,3.364739699776429,0,2,19,11,2
2018-09-30,0.0,0.0,0.0,1.7304375598850208,0,2,10,10,0
2018-10-07,1.7304375598850208,1.7304375598850208,0.0,0.0,2,2,10,10,0
2018-10-14,1.6343021398914084,1.6343021398914084,1.6343021398914084,2.4033854998403066,4,0,5,10,0
2018-10-21,1.7304375598850208,1.7304375598850208,0.0,3.364739699776429,3,0,10,10,2
2018-10-28,0.0,1.826572979878633,0.0,2.691791759821143,2,0,16,10,3
2018-11-04,1.7304375598850208,0.0,0.0,4.229958479718939,0,2,11,9,2
2018-11-11,0.0,0.0,1.6343021398914084,3.364739699776429,0,0,7,9,0
2018-11-18,1.6343021398914084,0.0,1.6343021398914084,3.9415522197381025,2,0,15,8,2
2018-11-25,1.7304375598850208,0.0,1.7304375598850208,1.7304375598850208,0,0,17,15,2
2018-12-02,0.0,1.826572979878633,1.826572979878633,4.614500159693389,0,0,9,15,0
2018-12-09,1.7304375598850208,1.826572979878633,0.0,1.7304375598850208,0,0,12,9,2
2018-12-16,1.826572979878633,1.826572979878633,0.0,1.826572979878633,2,2,16,11,0
2018-12-23,2.0188438198658574,0.0,0.0,2.98019801980198,2,0,12,7,2
2018-12-30,2.0188438198658574,0.0,0.0,6.921750239540083,2,0,14,9,0
2019-01-06,1.7304375598850208,0.0,0.0,1.7304375598850208,0,0,19,10,2
2019-01-13,1.6343021398914084,0.0,0.0,2.4995209198339188,2,0,18,6,2
2019-01-20,1.5381667198977962,1.5381667198977962,0.0,3.1724688597892046,0,0,11,10,0
2019-01-27,0.0,1.6343021398914084,0.0,3.2686042797828168,0,0,13,12,2
2019-02-03,0.0,0.0,1.6343021398914084,1.7304375598850208,4,0,17,6,2
2019-02-10,1.6343021398914084,1.6343021398914084,1.6343021398914084,1.6343021398914084,3,0,11,8,0
2019-02-17,0.0,0.0,0.0,2.595656339827531,2,0,7,10,4
2019-02-24,1.7304375598850208,0.0,1.7304375598850208,3.4608751197700416,4,0,13,12,0
2019-03-03,1.7304375598850208,0.0,1.7304375598850208,1.7304375598850208,2,2,14,11,0
2019-03-10,0.0,0.0,0.0,4.326093899712552,2,0,15,17,2
