date,Gartenhilfe,Sprache lernen,Solardach,Kochkurs,Dachfenster,Personal Trainer,Masseur,Garagenbau,Maler,Auto putzen,Poolbau,Elektriker,Klimaanlage,Tanzkurs,Baumeister
2018-01-07,0.0,0.0,0.0,5.641728160777914,31.101947308132875,7.775486827033219,7.775486827033219,0.0,13,0,0,2,2,2,2
2018-01-14,0.0,3.9492097125445396,0.0,3.9492097125445396,38.87743413516609,7.775486827033219,9.719358533791523,0.0,14,0,0,4,1,1,3
2018-01-21,0.0,5.641728160777914,0.0,0.0,23.326460481099655,11.663230240549828,13.607101947308132,0.0,12,0,1,2,1,1,2
2018-01-28,0.0,0.0,0.0,15.232666034100367,27.214203894616265,13.607101947308132,7.775486827033219,7.775486827033219,15,0,1,5,2,2,2
2018-02-04,0.0,3.9492097125445396,0.0,9.590937873322453,38.87743413516609,7.775486827033219,7.775486827033219,0.0,10,0,1,5,2,1,1
2018-02-11,0.0,3.9492097125445396,0.0,3.9492097125445396,19.438717067583045,11.663230240549828,0.0,0.0,17,0,1,2,2,1,3
2018-02-18,0.0,0.0,0.0,7.898419425089079,38.87743413516609,7.775486827033219,0.0,0.0,12,0,1,2,2,1,3
2018-02-25,0.0,3.9492097125445396,0.0,3.9492097125445396,36.93356242840779,13.607101947308132,0.0,7.775486827033219,13,0,0,2,1,1,3
2018-03-04,0.0,7.898419425089079,0.0,3.9492097125445396,34.98969072164948,9.719358533791523,7.775486827033219,7.775486827033219,14,0,0,4,2,1,1
2018-03-11,0.0,0.0,0.0,3.9492097125445396,42.7651775486827,7.775486827033219,17.49484536082474,0.0,15,0,1,2,3,2,2
2018-03-18,0.0,0.0,0.0,3.9492097125445396,21.38258877434135,0.0,0.0,7.775486827033219,15,0,1,3,1,1,3
2018-03-25,0.0,0.0,3.9492097125445396,7.898419425089079,17.49484536082474,9.719358533791523,15.550973654066437,0.0,12,0,0,2,2,1,2
2018-04-01,0.0,0.0,0.0,8.462592241166872,48.59679266895762,7.775486827033219,7.775486827033219,0.0,13,0,1,1,2,2,2
2018-04-08,0.0,3.9492097125445396,0.0,7.898419425089079,34.98969072164948,7.775486827033219,7.775486827033219,0.0,13,0,1,5,7,1,2
2018-04-15,0.0,0.0,0.0,7.898419425089079,48.59679266895762,15.550973654066437,7.775486827033219,0.0,16,0,1,4,6,1,2
2018-04-22,0.0,3.9492097125445396,0.0,15.232666034100367,73.86712485681558,7.775486827033219,9.719358533791523,0.0,13,0,1,3,7,1,3
2018-04-29,0.0,7.898419425089079,3.9492097125445396,6.205900976855705,58.31615120274914,7.775486827033219,7.775486827033219,0.0,11,0,0,2,3,1,2
2018-05-06,0.0,3.9492097125445396,0.0,6.205900976855705,42.7651775486827,9.719358533791523,13.607101947308132,0.0,12,0,1,2,6,1,2
2018-05-13,0.0,0.0,0.0,7.334246609011288,44.70904925544101,7.775486827033219,11.663230240549828,0.0,11,0,0,2,4,1,3
2018-05-20,0.0,0.0,0.0,0.0,48.59679266895762,9.719358533791523,7.775486827033219,0.0,13,0,1,3,8,1,3
2018-05-27,0.0,3.9492097125445396,0.0,3.9492097125445396,62.20389461626575,9.719358533791523,13.607101947308132,0.0,13,0,1,3,22,1,3
2018-06-03,0.0,3.9492097125445396,3.9492097125445396,9.590937873322453,29.15807560137457,17.49484536082474,13.607101947308132,7.775486827033219,11,0,1,2,13,1,2
2018-06-10,0.0,3.9492097125445396,0.0,7.334246609011288,46.65292096219931,0.0,7.775486827033219,0.0,10,0,1,2,7,1,2
2018-06-17,0.0,0.0,0.0,0.0,46.65292096219931,13.607101947308132,7.775486827033219,0.0,14,0,1,2,8,1,1
2018-06-24,0.0,0.0,0.0,11.84762913763362,52.48453608247423,7.775486827033219,7.775486827033219,0.0,10,0,1,3,5,1,1
2018-07-01,0.0,3.9492097125445396,0.0,3.9492097125445396,29.15807560137457,21.38258877434135,7.775486827033219,13.607101947308132,10,0,1,2,7,1,1
2018-07-08,0.0,0.0,0.0,3.9492097125445396,31.101947308132875,7.775486827033219,0.0,0.0,12,0,1,2,6,1,3
2018-07-15,0.0,3.9492097125445396,0.0,0.0,58.31615120274914,7.775486827033219,7.775486827033219,0.0,11,0,2,3,11,2,1
2018-07-22,0.0,3.9492097125445396,0.0,3.9492097125445396,54.42840778923253,11.663230240549828,15.550973654066437,7.775486827033219,13,0,1,2,31,1,1
2018-07-29,0.0,7.898419425089079,3.9492097125445396,0.0,75.81099656357388,13.607101947308132,7.775486827033219,7.775486827033219,14,0,2,4,100,1,2
2018-08-05,0.0,3.9492097125445396,0.0,5.641728160777914,77.75486827033218,9.719358533791523,13.607101947308132,0.0,11,0,1,2,41,2,2
2018-08-12,0.0,0.0,0.0,3.9492097125445396,66.09163802978236,0.0,5.831615120274914,0.0,11,0,1,3,11,1,1
2018-08-19,0.0,0.0,0.0,7.334246609011288,44.70904925544101,7.775486827033219,7.775486827033219,0.0,14,0,1,3,7,1,2
2018-08-26,0.0,0.0,0.0,3.9492097125445396,31.101947308132875,21.38258877434135,21.38258877434135,0.0,13,0,1,3,3,2,2
2018-09-02,0.0,0.0,0.0,15.232666034100367,44.70904925544101,9.719358533791523,7.775486827033219,0.0,11,0,0,4,4,0,2
2018-09-09,0.0,5.641728160777914,0.0,3.9492097125445396,36.93356242840779,13.607101947308132,7.775486827033219,0.0,16,0,1,2,2,2,4
2018-09-16,0.0,7.898419425089079,0.0,7.898419425089079,38.87743413516609,11.663230240549828,9.719358533791523,0.0,12,0,1,3,3,1,2
2018-09-23,0.0,3.9492097125445396,0.0,3.9492097125445396,31.101947308132875,7.775486827033219,7.775486827033219,0.0,11,0,0,3,2,1,2
2018-09-30,0.0,0.0,0.0,5.641728160777914,29.15807560137457,0.0,9.719358533791523,0.0,14,0,1,3,2,1,6
2018-10-07,0.0,3.9492097125445396,0.0,3.9492097125445396,25.27033218785796,7.775486827033219,7.775486827033219,0.0,10,0,1,3,1,1,5
2018-10-14,0.0,0.0,3.9492097125445396,3.9492097125445396,23.326460481099655,7.775486827033219,9.719358533791523,7.775486827033219,18,0,0,4,1,3,2
2018-10-21,0.0,3.9492097125445396,0.0,5.641728160777914,23.326460481099655,5.831615120274914,5.831615120274914,5.831615120274914,15,0,1,3,2,1,1
2018-10-28,0.0,0.0,0.0,5.641728160777914,25.27033218785796,5.831615120274914,13.607101947308132,0.0,12,0,1,3,2,1,2
2018-11-04,0.0,0.0,0.0,7.334246609011288,38.87743413516609,0.0,5.831615120274914,0.0,15,0,0,3,1,1,2
2018-11-11,0.0,3.9492097125445396,0.0,11.283456321555828,29.15807560137457,5.831615120274914,9.719358533791523,5.831615120274914,12,0,0,4,1,1,1
2018-11-18,0.0,3.3850368964667488,0.0,10.719283505478037,34.98969072164948,11.663230240549828,9.719358533791523,0.0,11,0,0,2,2,1,2
2018-11-25,0.0,0.0,0.0,7.334246609011288,38.87743413516609,13.607101947308132,7.775486827033219,0.0,12,0,0,3,1,3,2
2018-12-02,0.0,7.334246609011288,0.0,11.283456321555828,31.101947308132875,5.831615120274914,13.607101947308132,0.0,11,0,0,4,2,2,1
2018-12-09,0.0,3.9492097125445396,0.0,11.283456321555828,25.27033218785796,9.719358533791523,13.607101947308132,0.0,11,0,0,4,2,1,2
2018-12-16,0.0,3.9492097125445396,0.0,11.283456321555828,15.550973654066437,0.0,7.775486827033219,0.0,11,0,0,2,2,2,2
2018-12-23,0.0,8.462592241166872,0.0,8.462592241166872,23.326460481099655,0.0,7.775486827033219,0.0,8,0,0,2,2,1,2
2018-12-30,0.0,3.9492097125445396,0.0,3.9492097125445396,40.8213058419244,7.775486827033219,0.0,0.0,13,0,1,3,2,2,1
2019-01-06,0.0,0.0,0.0,10.719283505478037,36.93356242840779,5.831615120274914,5.831615120274914,0.0,11,0,1,3,3,1,3
2019-01-13,0.0,6.7700737929334975,0.0,6.7700737929334975,19.438717067583045,15.550973654066437,9.719358533791523,5.831615120274914,12,0,1,3,2,1,2
2019-01-20,0.0,0.0,0.0,5.077555344700123,36.93356242840779,13.607101947308132,5.831615120274914,0.0,16,0,0,4,2,2,1
2019-01-27,0.0,0.0,0.0,6.7700737929334975,25.27033218785796,7.775486827033219,13.607101947308132,0.0,15,0,1,2,1,1,2
2019-02-03,0.0,0.0,3.3850368964667488,10.719283505478037,34.98969072164948,5.831615120274914,5.831615120274914,0.0,14,0,0,3,3,2,2
2019-02-10,0.0,6.7700737929334975,3.3850368964667488,7.334246609011288,44.70904925544101,9.719358533791523,0.0,5.831615120274914,15,0,1,5,1,1,2
2019-02-17,0.0,3.9492097125445396,0.0,9.590937873322453,34.98969072164948,7.775486827033219,7.775486827033219,0.0,14,0,1,3,3,1,2
2019-02-24,0.0,0.0,0.0,7.334246609011288,40.8213058419244,9.719358533791523,7.775486827033219,0.0,14,0,1,2,2,1,2
2019-03-03,0.0,3.3850368964667488,3.3850368964667488,9.026765057244663,34.98969072164948,5.831615120274914,19.438717067583045,0.0,13,0,1,3,3,1,2
2019-03-10,0.0,3.3850368964667488,0.0,3.3850368964667488,44.70904925544101,13.607101947308132,5.831615120274914,0.0,15,0,1,3,1,2,3
2019-03-17,0.0,0.0,0.0,3.9492097125445396,27.214203894616265,17.49484536082474,13.607101947308132,7.775486827033219,16,0,1,3,4,1,2
2019-03-24,0.0,3.3850368964667488,3.3850368964667488,7.334246609011288,50.54066437571592,11.663230240549828,13.607101947308132,0.0,17,0,1,3,3,1,2
2019-03-31,0.0,3.9492097125445396,0.0,3.9492097125445396,48.59679266895762,9.719358533791523,13.607101947308132,0.0,19,0,0,2,3,2,3
2019-04-07,0.0,3.3850368964667488,0.0,3.3850368964667488,40.8213058419244,0.0,9.719358533791523,0.0,15,0,1,2,4,1,2
2019-04-14,0.0,3.9492097125445396,0.0,3.9492097125445396,42.7651775486827,13.607101947308132,7.775486827033219,0.0,17,0,1,3,6,1,2
2019-04-21,0.0,0.0,0.0,7.898419425089079,42.7651775486827,7.775486827033219,7.775486827033219,7.775486827033219,14,0,1,4,8,1,3
2019-04-28,0.0,3.3850368964667488,0.0,9.026765057244663,29.15807560137457,9.719358533791523,0.0,0.0,15,0,1,3,6,1,2
2019-05-05,0.0,3.3850368964667488,0.0,3.3850368964667488,34.98969072164948,9.719358533791523,5.831615120274914,0.0,16,0,0,3,4,1,2
2019-05-12,0.0,0.0,0.0,7.334246609011288,60.26002290950745,13.607101947308132,11.663230240549828,0.0,15,0,1,2,3,1,2
2019-05-19,0.0,10.719283505478037,0.0,3.3850368964667488,54.42840778923253,15.550973654066437,7.775486827033219,0.0,16,0,1,3,6,1,2
2019-05-26,0.0,0.0,0.0,7.334246609011288,34.98969072164948,13.607101947308132,5.831615120274914,5.831615120274914,11,0,1,2,8,1,1
2019-06-02,0.0,3.3850368964667488,0.0,3.3850368964667488,77.75486827033218,9.719358533791523,5.831615120274914,0.0,13,0,1,3,48,1,2
2019-06-09,0.0,5.641728160777914,0.0,9.026765057244663,60.26002290950745,5.831615120274914,13.607101947308132,0.0,11,0,1,3,21,1,1
2019-06-16,0.0,3.3850368964667488,0.0,5.641728160777914,62.20389461626575,13.607101947308132,0.0,5.831615120274914,14,0,2,3,25,1,1
2019-06-23,0.0,3.9492097125445396,0.0,3.9492097125445396,69.97938144329896,13.607101947308132,5.831615120274914,0.0,13,0,2,3,59,1,2
2019-06-30,0.0,3.3850368964667488,3.3850368964667488,10.719283505478037,48.59679266895762,5.831615120274914,5.831615120274914,0.0,13,0,1,2,24,1,1
2019-07-07,0.0,3.9492097125445396,0.0,3.9492097125445396,42.7651775486827,9.719358533791523,5.831615120274914,5.831615120274914,16,0,1,3,6,1,1
2019-07-14,0.0,7.898419425089079,0.0,7.898419425089079,29.15807560137457,7.775486827033219,7.775486827033219,0.0,13,0,1,3,8,1,4
2019-07-21,0.0,0.0,0.0,0.0,75.81099656357388,7.775486827033219,7.775486827033219,0.0,12,0,1,3,27,1,1
2019-07-28,0.0,3.9492097125445396,0.0,3.9492097125445396,42.7651775486827,9.719358533791523,7.775486827033219,0.0,12,0,2,2,15,1,3
2019-08-04,0.0,0.0,3.9492097125445396,5.641728160777914,60.26002290950745,13.607101947308132,7.775486827033219,7.775486827033219,13,0,1,2,8,0,2
2019-08-11,0.0,3.9492097125445396,0.0,12.975974769789202,31.101947308132875,7.775486827033219,13.607101947308132,0.0,12,0,1,4,5,1,2
2019-08-18,0.0,7.334246609011288,3.3850368964667488,3.9492097125445396,44.70904925544101,9.719358533791523,5.831615120274914,0.0,13,0,1,3,4,2,2
2019-08-25,0.0,3.3850368964667488,0.0,5.077555344700123,33.04581901489118,7.775486827033219,5.831615120274914,13.607101947308132,12,0,1,3,11,2,2
2019-09-01,0.0,3.3850368964667488,0.0,5.077555344700123,21.38258877434135,5.831615120274914,5.831615120274914,5.831615120274914,14,0,1,3,6,1,2
2019-09-08,0.0,7.334246609011288,0.0,3.3850368964667488,33.04581901489118,11.663230240549828,9.719358533791523,0.0,13,0,1,2,2,1,2
2019-09-15,0.0,0.0,0.0,5.641728160777914,27.214203894616265,5.831615120274914,5.831615120274914,0.0,15,0,1,2,3,2,2
2019-09-22,0.0,3.3850368964667488,0.0,3.3850368964667488,19.438717067583045,5.831615120274914,5.831615120274914,5.831615120274914,13,0,0,4,2,0,3
2019-09-29,0.0,3.3850368964667488,10.719283505478037,3.3850368964667488,25.27033218785796,5.831615120274914,5.831615120274914,0.0,12,0,1,4,2,1,2
2019-10-06,0.0,0.0,0.0,7.334246609011288,33.04581901489118,5.831615120274914,0.0,0.0,11,0,1,2,1,1,2
2019-10-13,0.0,0.0,0.0,3.3850368964667488,19.438717067583045,0.0,5.831615120274914,0.0,14,0,1,4,2,2,2
2019-10-20,0.0,3.3850368964667488,3.3850368964667488,7.334246609011288,29.15807560137457,5.831615120274914,5.831615120274914,5.831615120274914,12,0,1,2,2,1,2
2019-10-27,0.0,0.0,3.3850368964667488,8.462592241166872,13.607101947308132,5.831615120274914,0.0,0.0,18,0,1,2,3,1,6
2019-11-03,0.0,3.3850368964667488,0.0,13.540147585866995,29.15807560137457,11.663230240549828,5.831615120274914,0.0,16,0,1,3,3,1,4
2019-11-10,0.0,5.077555344700123,0.0,11.84762913763362,19.438717067583045,5.831615120274914,9.719358533791523,0.0,14,0,1,3,1,1,2
2019-11-17,0.0,3.3850368964667488,0.0,5.077555344700123,25.27033218785796,5.831615120274914,5.831615120274914,0.0,13,0,1,4,1,1,2
2019-11-24,0.0,3.3850368964667488,0.0,14.668493218022576,17.49484536082474,5.831615120274914,5.831615120274914,0.0,18,0,1,3,1,1,2
2019-12-01,0.0,0.0,0.0,13.540147585866995,29.15807560137457,15.550973654066437,5.831615120274914,5.831615120274914,12,0,1,4,1,1,3
2019-12-08,0.0,3.3850368964667488,3.3850368964667488,10.155110689400246,21.38258877434135,5.831615120274914,19.438717067583045,5.831615120274914,14,0,2,3,1,1,4
2019-12-15,0.0,0.0,0.0,6.7700737929334975,15.550973654066437,11.663230240549828,5.831615120274914,0.0,14,0,0,3,2,1,3
