date,Psicólogo,wedding planner,clases primaria,Entrenador Personal,Fontanero,Entrega a domicilio,Aire acondicionado,pinturas,portes
2018-01-07,9.908015768725361,0.0,0.0,0.0,4,0,8,17,0
2018-01-14,0.0,0.0,0.0,9.908015768725361,4,0,4,14,4
2018-01-21,0.0,0.0,0.0,9.526938239159001,7,0,8,4,0
2018-01-28,0.0,0.0,0.0,0.0,4,0,8,10,0
2018-02-04,9.526938239159001,0.0,9.526938239159001,0.0,16,0,8,7,4
2018-02-11,9.908015768725361,0.0,0.0,9.908015768725361,4,0,13,17,4
2018-02-18,9.908015768725361,0.0,0.0,9.908015768725361,4,0,4,7,4
2018-02-25,0.0,0.0,9.908015768725361,9.908015768725361,4,0,7,13,4
2018-03-04,0.0,0.0,0.0,9.908015768725361,4,0,8,8,4
2018-03-11,0.0,0.0,0.0,9.526938239159001,0,0,6,12,4
2018-03-18,0.0,0.0,0.0,0.0,9,0,8,8,0
2018-03-25,0.0,0.0,0.0,0.0,9,0,5,17,5
2018-04-01,11.051248357424441,0.0,0.0,0.0,5,0,6,7,5
2018-04-08,0.0,0.0,0.0,0.0,4,0,4,8,0
2018-04-15,0.0,0.0,0.0,9.908015768725361,4,0,4,10,0
2018-04-22,0.0,0.0,0.0,0.0,0,0,12,7,0
2018-04-29,0.0,0.0,0.0,0.0,4,0,4,8,0
2018-05-06,0.0,0.0,0.0,0.0,0,0,10,14,4
2018-05-13,0.0,0.0,0.0,9.908015768725361,9,0,11,4,13
2018-05-20,9.908015768725361,0.0,0.0,0.0,4,4,13,17,4
2018-05-27,0.0,0.0,0.0,14.480946123521681,0,0,8,15,0
2018-06-03,0.0,0.0,0.0,0.0,4,0,14,14,0
2018-06-10,0.0,0.0,0.0,0.0,5,0,6,16,0
2018-06-17,10.670170827858081,0.0,0.0,0.0,7,0,27,9,5
2018-06-24,0.0,0.0,0.0,10.670170827858081,5,0,37,14,6
2018-07-01,11.051248357424441,0.0,0.0,0.0,5,0,25,9,0
2018-07-08,0.0,0.0,0.0,0.0,5,0,20,10,5
2018-07-15,0.0,0.0,0.0,0.0,5,0,29,12,5
2018-07-22,0.0,0.0,0.0,11.432325886990801,10,0,30,5,0
2018-07-29,0.0,0.0,0.0,0.0,0,0,61,10,0
2018-08-05,10.670170827858081,0.0,0.0,11.051248357424441,5,0,50,11,5
2018-08-12,11.432325886990801,0.0,0.0,11.432325886990801,0,0,18,12,0
2018-08-19,0.0,0.0,0.0,11.051248357424441,0,0,11,16,5
2018-08-26,21.340341655716163,0.0,0.0,0.0,0,0,8,11,5
2018-09-02,9.908015768725361,0.0,9.908015768725361,0.0,6,0,6,7,0
2018-09-09,9.908015768725361,0.0,0.0,9.908015768725361,4,0,6,9,0
2018-09-16,9.908015768725361,0.0,9.908015768725361,0.0,6,0,6,8,0
2018-09-23,0.0,0.0,0.0,9.908015768725361,4,0,13,10,0
2018-09-30,0.0,0.0,19.816031537450723,9.526938239159001,4,0,6,13,4
2018-10-07,9.908015768725361,0.0,0.0,0.0,4,0,4,11,0
2018-10-14,0.0,0.0,0.0,19.43495400788436,4,0,4,14,6
2018-10-21,0.0,0.0,0.0,19.43495400788436,4,0,8,15,0
2018-10-28,9.908015768725361,0.0,0.0,0.0,8,0,10,17,0
2018-11-04,0.0,0.0,0.0,9.526938239159001,0,0,11,13,0
2018-11-11,9.526938239159001,0.0,0.0,0.0,4,0,4,16,0
2018-11-18,0.0,0.0,0.0,0.0,4,0,4,7,4
2018-11-25,0.0,0.0,9.908015768725361,0.0,4,0,13,17,0
2018-12-02,0.0,0.0,0.0,10.289093298291721,9,0,4,6,4
2018-12-09,9.526938239159001,0.0,0.0,0.0,4,0,6,12,0
2018-12-16,9.908015768725361,0.0,0.0,0.0,0,0,4,8,0
2018-12-23,0.0,0.0,0.0,23.24572930354796,5,0,7,15,0
