date,travaux rénovation,paysagiste,piscine semi enterrée,apprendre anglais,Gazon synthétique,Installation climatisation,Artisan peintre,jardiner,moustiquaire porte,store banne,Cours de cuisine,panneau solaire,Cours de yoga,reparation store,Coach sportif
2018-01-07,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,38,0,0,0
2018-01-14,0.0,0.0,0.0,0.0,0,38,0,0,0,0,0,0,45,0,0
2018-01-21,0.0,44.932935916542476,0.0,44.932935916542476,0,38,0,0,0,0,0,38,45,0,0
2018-01-28,0.0,0.0,0.0,44.100844510680574,0,0,0,38,0,38,0,38,0,0,0
2018-02-04,0.0,0.0,0.0,0.0,0,0,0,37,0,37,37,0,0,0,44
2018-02-11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,38,0,0,0
2018-02-18,0.0,0.0,0.0,0.0,36,0,0,74,0,0,0,37,0,0,43
2018-02-25,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,0.0,0.0,0.0,0.0,38,0,0,38,0,0,0,0,0,0,0
2018-03-11,0.0,0.0,0.0,0.0,0,0,0,37,0,0,0,0,0,0,0
2018-03-18,0.0,43.26875310481868,0.0,0.0,0,0,0,0,0,0,0,37,0,0,87
2018-03-25,0.0,0.0,0.0,0.0,38,0,0,38,0,0,77,0,0,0,0
2018-04-01,0.0,0.0,0.0,44.100844510680574,38,0,0,37,0,56,0,0,0,0,45
2018-04-08,0.0,40.772478887232985,0.0,40.772478887232985,36,35,0,0,0,52,0,0,40,0,0
2018-04-15,0.0,44.932935916542476,0.0,0.0,37,0,0,38,0,0,0,37,0,0,0
2018-04-22,0.0,0.0,0.0,0.0,36,0,0,0,0,74,0,37,0,0,0
2018-04-29,0.0,0.0,0.0,0.0,0,0,0,32,32,32,0,0,0,0,37
2018-05-06,0.0,0.0,0.0,0.0,32,32,0,32,0,0,0,0,0,0,0
2018-05-13,0.0,0.0,0.0,0.0,32,0,0,33,32,32,0,0,0,0,0
2018-05-20,0.0,39.10829607550919,0.0,0.0,34,0,0,0,0,68,0,34,0,0,38
2018-05-27,0.0,0.0,0.0,0.0,0,0,0,0,0,32,0,0,0,0,0
2018-06-03,0.0,0.0,0.0,0.0,31,0,0,31,0,0,0,0,36,0,0
2018-06-10,0.0,34.1157476403378,0.0,0.0,29,0,0,0,29,44,0,0,0,0,0
2018-06-17,0.0,0.0,0.0,35.7799304520616,0,0,0,0,0,0,0,0,0,0,35
2018-06-24,0.0,0.0,0.0,0.0,28,0,0,0,28,0,0,28,0,0,0
2018-07-01,0.0,0.0,0.0,31.61947342275211,0,27,0,27,0,0,0,0,0,0,0
2018-07-08,0.0,29.955290611028317,0.0,29.955290611028317,26,0,0,0,0,51,0,25,0,0,0
2018-07-15,0.0,0.0,0.0,0.0,25,25,0,0,25,0,0,0,0,0,0
2018-07-22,0.0,0.0,0.0,0.0,0,24,0,24,0,0,0,24,28,0,0
2018-07-29,0.0,0.0,0.0,0.0,0,23,0,0,0,23,0,23,0,0,0
2018-08-05,0.0,0.0,0.0,24.96274217585693,0,21,0,21,0,21,0,0,0,0,0
2018-08-12,0.0,0.0,0.0,24.96274217585693,21,0,0,21,0,21,0,21,25,0,0
2018-08-19,0.0,0.0,0.0,0.0,0,23,0,0,0,46,0,47,27,0,27
2018-08-26,0.0,29.955290611028317,0.0,0.0,0,0,0,0,0,0,0,26,0,0,0
2018-09-02,0.0,31.61947342275211,0.0,0.0,0,0,0,0,0,27,0,0,0,0,0
2018-09-09,0.0,33.283656234475906,0.0,33.283656234475906,28,0,0,0,0,28,28,0,0,0,32
