date,travaux rénovation,Gazon synthétique,piscine semi enterrée,apprendre anglais,paysagiste,Coach sportif,Installation climatisation,Artisan peintre,jardiner,moustiquaire porte,Cours de cuisine,panneau solaire,Cours de yoga,reparation store,store banne
2018-01-07,0.0,0.0,0.0,45.395111594016655,13.959398976982097,40.947570332480815,0.0,0.0,12,0,12,24,11,0,0
2018-01-14,0.0,22.009751075886864,22.009751075886864,22.009751075886864,37.22506393861892,13.959398976982097,0.0,0.0,0,0,23,24,11,0,21
2018-01-21,0.0,0.0,0.0,23.385360518129794,41.87819693094629,23.26566496163683,0.0,0.0,12,0,24,24,11,0,0
2018-01-28,0.0,0.0,23.385360518129794,23.385360518129794,33.50255754475703,18.61253196930946,0.0,0.0,0,0,0,49,11,0,22
2018-02-04,0.0,0.0,23.385360518129794,68.78047211214646,41.87819693094629,13.959398976982097,0.0,0.0,12,0,18,16,11,0,0
2018-02-11,0.0,0.0,23.385360518129794,35.76584549831615,38.155690537084396,36.29443734015345,0.0,0.0,0,12,25,19,0,0,0
2018-02-18,0.0,0.0,23.385360518129794,23.385360518129794,24.196291560102303,13.959398976982097,0.0,0.0,24,0,12,16,0,0,33
2018-02-25,0.0,23.385360518129794,23.385360518129794,0.0,37.22506393861892,13.959398976982097,0.0,0.0,18,0,24,35,21,0,21
2018-03-04,0.0,46.77072103625959,0.0,0.0,23.26566496163683,13.959398976982097,0.0,0.0,24,0,0,12,0,0,33
2018-03-11,0.0,23.385360518129794,0.0,23.385360518129794,32.57193094629156,13.959398976982097,0.0,0.0,12,0,12,28,0,0,16
2018-03-18,0.0,59.15120601644595,0.0,23.385360518129794,33.50255754475703,14.89002557544757,0.0,0.0,21,0,25,31,11,0,11
2018-03-25,0.0,0.0,35.76584549831615,0.0,48.392583120204606,24.196291560102303,0.0,0.0,55,0,12,37,0,0,39
2018-04-01,0.0,24.760969960372723,23.385360518129794,0.0,43.739450127877234,43.739450127877234,0.0,0.0,37,0,0,31,0,0,11
