date,Psicólogo,wedding planner,clases primaria,Entrenador Personal,Fontanero,Entrega a domicilio,Aire acondicionado,pinturas,portes
2018-01-07,0.0,7.876268728854518,5.34461092315128,7.032382793620105,6,2,10,22,3
2018-01-14,0.0,0.0,5.34461092315128,10.68922184630256,5,0,6,22,2
2018-01-21,5.063315611406476,0.0,5.34461092315128,10.126631222812952,3,0,6,25,0
2018-01-28,0.0,5.34461092315128,5.34461092315128,5.34461092315128,4,2,9,21,2
2018-02-04,5.063315611406476,5.063315611406476,0.0,12.939584340260994,4,2,12,23,3
2018-02-11,10.68922184630256,7.876268728854518,5.34461092315128,10.68922184630256,8,0,10,20,2
2018-02-18,5.34461092315128,0.0,0.0,16.03383276945384,5,0,13,16,6
2018-02-25,5.063315611406476,10.126631222812952,7.594973417109713,5.063315611406476,8,0,7,24,5
2018-03-04,0.0,0.0,10.407926534557756,10.407926534557756,7,2,8,19,3
2018-03-11,5.34461092315128,5.34461092315128,5.34461092315128,10.407926534557756,4,0,7,21,2
2018-03-18,5.063315611406476,5.063315611406476,0.0,5.063315611406476,3,0,7,13,5
2018-03-25,6.751087481875301,0.0,5.063315611406476,7.594973417109713,3,0,13,14,4
2018-04-01,5.34461092315128,5.34461092315128,5.34461092315128,5.34461092315128,3,0,9,17,4
2018-04-08,5.063315611406476,5.063315611406476,5.063315611406476,5.063315611406476,6,0,10,23,2
2018-04-15,5.34461092315128,0.0,0.0,7.876268728854518,7,0,19,17,2
2018-04-22,0.0,0.0,0.0,8.72015466408893,3,2,12,19,2
2018-04-29,5.063315611406476,5.063315611406476,5.063315611406476,8.438859352344126,4,0,13,21,6
2018-05-06,0.0,0.0,5.063315611406476,5.063315611406476,3,2,16,18,6
2018-05-13,0.0,5.063315611406476,0.0,5.063315611406476,5,0,11,21,3
2018-05-20,5.34461092315128,5.063315611406476,0.0,7.876268728854518,3,0,13,17,4
2018-05-27,0.0,0.0,7.594973417109713,5.063315611406476,5,0,14,20,0
2018-06-03,5.063315611406476,0.0,0.0,5.063315611406476,10,0,13,17,6
2018-06-10,5.063315611406476,5.063315611406476,0.0,5.063315611406476,2,2,21,17,2
2018-06-17,0.0,0.0,0.0,8.157564040599322,3,2,62,22,3
2018-06-24,5.625906234896084,0.0,5.625906234896084,8.438859352344126,4,2,84,10,4
2018-07-01,0.0,0.0,0.0,5.625906234896084,3,2,30,15,5
2018-07-08,10.68922184630256,7.876268728854518,0.0,5.34461092315128,5,2,38,17,2
2018-07-15,5.625906234896084,0.0,0.0,8.157564040599322,7,2,24,21,3
2018-07-22,5.625906234896084,0.0,5.625906234896084,11.251812469792169,3,0,37,20,2
2018-07-29,8.157564040599322,0.0,0.0,8.157564040599322,5,0,60,24,2
2018-08-05,7.594973417109713,5.063315611406476,5.063315611406476,6.751087481875301,8,0,53,18,3
2018-08-12,5.063315611406476,7.313678105364909,0.0,5.063315611406476,3,2,20,13,2
2018-08-19,4.782020299661672,0.0,4.782020299661672,6.469792170130497,4,0,20,24,2
2018-08-26,7.313678105364909,9.845335911068148,0.0,13.220879652005799,5,0,19,14,2
2018-09-02,10.126631222812952,10.126631222812952,10.126631222812952,0.0,7,0,20,17,3
