date,wedding planner,clases primaria,Entrenador Personal,Fontanero,Psicólogo,Entrega a domicilio,Aire acondicionado,pinturas,portes
2018-01-07,3.452972493345164,0.0,0.0,3.0514640638864243,0,0,13,11,4
2018-01-14,2.3287488908606924,2.3287488908606924,0.0,3.452972493345164,0,0,12,17,3
2018-01-21,4.41659272404614,0.0,2.248447204968944,2.248447204968944,0,3,8,10,3
2018-01-28,2.1681455190771963,0.0,3.6938775510204085,6.584738243123336,3,0,13,5,3
2018-02-04,2.1681455190771963,2.1681455190771963,2.1681455190771963,2.1681455190771963,0,0,20,8,3
2018-02-11,6.82564330079858,2.248447204968944,0.0,3.3726708074534164,0,0,18,15,3
2018-02-18,2.248447204968944,0.0,2.1681455190771963,2.1681455190771963,3,0,16,10,8
2018-02-25,2.248447204968944,0.0,3.292369121561668,2.1681455190771963,5,0,15,8,5
2018-03-04,4.255989352262644,0.0,4.255989352262644,2.087843833185448,0,0,8,8,5
2018-03-11,0.0,2.087843833185448,0.0,0.0,0,0,15,15,5
2018-03-18,2.087843833185448,4.175687666370896,2.087843833185448,3.452972493345164,2,0,13,9,2
2018-03-25,2.1681455190771963,0.0,2.1681455190771963,2.1681455190771963,3,0,11,8,3
2018-04-01,0.0,0.0,2.087843833185448,2.087843833185448,5,2,11,8,0
2018-04-08,1.8469387755102042,0.0,1.8469387755102042,2.4893522626441884,0,0,10,6,3
2018-04-15,0.0,0.0,2.0075421472937003,4.015084294587401,0,2,12,8,2
2018-04-22,1.927240461401952,0.0,1.927240461401952,1.927240461401952,0,0,17,7,2
2018-04-29,1.7666370896184562,0.0,1.7666370896184562,1.7666370896184562,3,0,11,6,4
2018-05-06,2.40905057675244,0.0,2.7302573203194322,2.40905057675244,0,0,11,8,3
2018-05-13,1.8469387755102042,0.0,2.40905057675244,4.255989352262644,0,0,12,3,2
2018-05-20,0.0,0.0,1.7666370896184562,4.41659272404614,0,0,15,3,2
2018-05-27,0.0,0.0,1.6863354037267082,2.248447204968944,0,0,20,7,2
2018-06-03,1.6060337178349602,0.0,0.0,1.6060337178349602,0,0,17,6,2
2018-06-10,1.5257320319432122,0.0,0.0,0.0,0,0,21,10,4
2018-06-17,0.0,0.0,0.0,2.569653948535936,2,2,30,5,5
2018-06-24,0.0,0.0,1.6060337178349602,2.40905057675244,0,0,29,6,5
2018-07-01,1.6060337178349602,0.0,1.6060337178349602,3.6938775510204085,2,0,41,5,0
2018-07-08,1.5257320319432122,1.5257320319432122,0.0,2.569653948535936,2,0,45,7,2
2018-07-15,1.5257320319432122,0.0,3.131765749778172,2.3287488908606924,4,2,48,9,2
2018-07-22,0.0,0.0,2.3287488908606924,2.3287488908606924,2,2,23,5,2
2018-07-29,1.5257320319432122,0.0,1.5257320319432122,4.496894409937888,2,2,57,3,0
2018-08-05,1.4454303460514641,0.0,2.1681455190771963,1.4454303460514641,0,0,67,6,3
2018-08-12,1.4454303460514641,0.0,1.4454303460514641,2.3287488908606924,0,0,27,6,2
2018-08-19,0.0,0.0,4.657497781721385,4.657497781721385,2,0,21,5,3
2018-08-26,1.6060337178349602,0.0,1.6060337178349602,4.737799467613132,0,0,18,7,4
2018-09-02,1.5257320319432122,1.5257320319432122,1.5257320319432122,1.5257320319432122,0,0,13,5,0
2018-09-09,1.5257320319432122,0.0,1.5257320319432122,1.5257320319432122,2,2,8,6,0
2018-09-16,1.6060337178349602,0.0,2.40905057675244,5.62111801242236,0,0,11,7,2
2018-09-23,1.6863354037267082,1.6060337178349602,1.6060337178349602,1.6060337178349602,2,2,8,8,6
2018-09-30,1.6863354037267082,0.0,4.175687666370896,1.6863354037267082,0,2,8,9,2
2018-10-07,0.0,0.0,0.0,2.8908606921029283,0,0,7,4,4
2018-10-14,0.0,1.6863354037267082,3.452972493345164,4.255989352262644,4,2,7,7,2
2018-10-21,2.81055900621118,0.0,3.7741792369121563,1.8469387755102042,0,0,6,7,2
2018-10-28,2.0075421472937003,0.0,2.0075421472937003,2.0075421472937003,0,0,18,8,3
2018-11-04,0.0,2.087843833185448,2.087843833185448,4.175687666370896,0,2,15,11,2
2018-11-11,2.1681455190771963,0.0,2.1681455190771963,4.336291038154393,0,0,13,14,0
2018-11-18,4.255989352262644,0.0,4.255989352262644,2.087843833185448,2,0,21,7,5
2018-11-25,0.0,0.0,4.41659272404614,2.248447204968944,0,0,16,5,5
2018-12-02,0.0,0.0,0.0,2.40905057675244,0,3,18,7,3
2018-12-09,0.0,0.0,3.452972493345164,4.657497781721385,0,0,15,8,3
2018-12-16,3.5332741792369124,0.0,3.5332741792369124,3.131765749778172,3,0,7,10,4
2018-12-23,2.81055900621118,0.0,2.7302573203194322,2.81055900621118,0,0,12,13,0
2018-12-30,2.649955634427684,0.0,2.649955634427684,5.299911268855368,0,0,22,5,6
2019-01-06,0.0,0.0,2.248447204968944,2.248447204968944,0,0,21,7,3
2019-01-13,2.248447204968944,0.0,2.248447204968944,4.41659272404614,3,0,19,11,3
2019-01-20,2.087843833185448,2.087843833185448,4.175687666370896,2.087843833185448,2,0,15,11,4
2019-01-27,2.087843833185448,0.0,2.087843833185448,2.087843833185448,2,0,13,8,5
2019-02-03,0.0,0.0,2.1681455190771963,2.1681455190771963,3,3,13,14,3
2019-02-10,0.0,0.0,2.1681455190771963,4.336291038154393,0,0,8,8,0
2019-02-17,4.41659272404614,0.0,4.41659272404614,2.1681455190771963,3,0,9,11,3
2019-02-24,2.248447204968944,0.0,2.248447204968944,3.3726708074534164,3,0,10,9,8
2019-03-03,2.1681455190771963,2.1681455190771963,2.1681455190771963,2.1681455190771963,0,0,10,8,4
2019-03-10,2.087843833185448,0.0,2.087843833185448,2.1681455190771963,0,0,17,7,4
2019-03-17,0.0,2.087843833185448,2.087843833185448,2.087843833185448,0,0,12,13,5
2019-03-24,2.087843833185448,4.175687666370896,2.087843833185448,2.087843833185448,2,0,11,17,7
2019-03-31,2.649955634427684,0.0,4.5771960958296365,2.0075421472937003,2,0,12,9,2
2019-04-07,0.0,0.0,1.927240461401952,3.854480922803904,2,0,11,8,4
2019-04-14,1.8469387755102042,0.0,2.40905057675244,2.40905057675244,2,0,9,8,0
2019-04-21,1.8469387755102042,0.0,0.0,1.8469387755102042,2,2,4,8,2
2019-04-28,1.7666370896184562,0.0,2.649955634427684,5.380212954747116,2,0,8,5,4
2019-05-05,4.41659272404614,0.0,3.5332741792369124,2.40905057675244,2,0,6,10,3
2019-05-12,0.0,1.7666370896184562,0.0,1.7666370896184562,2,0,16,9,3
2019-05-19,1.6863354037267082,0.0,2.4893522626441884,2.7302573203194322,0,0,11,7,3
2019-05-26,0.0,0.0,0.0,2.7302573203194322,2,0,13,6,2
2019-06-02,1.5257320319432122,0.0,1.5257320319432122,2.3287488908606924,0,0,18,7,2
2019-06-09,1.5257320319432122,1.5257320319432122,1.5257320319432122,4.095385980479148,2,0,26,5,2
2019-06-16,1.6060337178349602,0.0,1.6060337178349602,1.6060337178349602,0,0,19,9,3
2019-06-23,2.1681455190771963,0.0,0.0,1.6060337178349602,0,0,73,4,2
2019-06-30,3.131765749778172,0.0,2.087843833185448,3.131765749778172,2,2,100,6,0
2019-07-07,0.0,0.0,2.971162377994676,1.5257320319432122,2,0,60,7,0
2019-07-14,1.5257320319432122,0.0,2.971162377994676,2.971162377994676,2,0,31,3,4
2019-07-21,1.5257320319432122,0.0,1.5257320319432122,1.5257320319432122,3,0,46,7,2
2019-07-28,1.4454303460514641,0.0,0.0,4.41659272404614,3,0,25,5,2
2019-08-04,1.4454303460514641,0.0,1.4454303460514641,0.0,0,0,36,5,2
2019-08-11,1.4454303460514641,1.4454303460514641,0.0,2.81055900621118,2,0,29,6,2
2019-08-18,0.0,0.0,2.81055900621118,2.40905057675244,0,0,21,7,3
2019-08-25,0.0,1.4454303460514641,2.81055900621118,1.4454303460514641,2,0,14,7,0
2019-09-01,0.0,0.0,1.8469387755102042,4.255989352262644,2,0,15,4,2
2019-09-08,1.3651286601597161,0.0,0.0,1.3651286601597161,2,0,7,5,0
2019-09-15,2.1681455190771963,0.0,2.8908606921029283,2.1681455190771963,2,0,10,7,3
2019-09-22,0.0,0.0,2.971162377994676,1.4454303460514641,2,0,10,10,3
2019-09-29,1.5257320319432122,0.0,2.248447204968944,3.0514640638864243,2,0,7,6,2
2019-10-06,1.5257320319432122,1.5257320319432122,1.5257320319432122,1.5257320319432122,0,0,8,4,4
2019-10-13,1.5257320319432122,0.0,1.5257320319432122,3.0514640638864243,0,0,12,4,3
2019-10-20,3.131765749778172,1.5257320319432122,1.5257320319432122,1.5257320319432122,2,0,18,5,2
2019-10-27,1.7666370896184562,1.7666370896184562,3.5332741792369124,1.7666370896184562,2,0,11,9,2
2019-11-03,1.7666370896184562,0.0,1.7666370896184562,2.649955634427684,2,0,12,10,4
2019-11-10,1.8469387755102042,0.0,1.7666370896184562,3.5332741792369124,0,0,25,7,2
2019-11-17,1.8469387755102042,1.8469387755102042,5.540816326530613,2.4893522626441884,2,2,23,5,4
2019-11-24,0.0,0.0,2.81055900621118,4.978704525288377,2,0,17,9,4
2019-12-01,0.0,0.0,1.927240461401952,3.854480922803904,2,0,11,10,3
2019-12-08,2.0075421472937003,0.0,0.0,3.0514640638864243,9,0,14,10,2
2019-12-15,1.927240461401952,2.0075421472937003,2.0075421472937003,3.9347826086956523,0,0,9,6,2
2019-12-22,0.0,0.0,2.248447204968944,6.82564330079858,3,0,6,5,3
2019-12-29,0.0,0.0,0.0,4.41659272404614,0,3,17,10,3
