date,travaux rénovation,Gazon synthétique,piscine semi enterrée,apprendre anglais,Coach sportif,Installation climatisation,Artisan peintre,jardiner,moustiquaire porte,store banne,Cours de cuisine,panneau solaire,paysagiste,Cours de yoga,reparation store
2018-01-07,0,0,11,11,22,0,22,0,0,11,29,15,33,11,0
2018-01-14,0,0,0,11,16,0,0,11,11,0,22,33,33,22,0
2018-01-21,0,0,0,22,15,0,0,11,0,0,15,33,25,18,0
2018-01-28,0,0,11,33,33,0,0,0,11,11,0,17,29,16,0
2018-02-04,0,0,23,11,15,0,0,0,0,0,17,17,41,11,0
2018-02-11,0,11,11,17,22,0,0,0,0,0,0,30,48,11,0
2018-02-18,11,22,0,11,28,0,0,0,0,11,22,26,37,0,0
2018-02-25,23,11,0,11,11,0,0,0,0,11,11,15,19,0,0
2018-03-04,0,11,0,17,15,0,0,28,0,11,0,23,76,23,0
2018-03-11,33,11,0,22,22,0,0,11,11,28,17,22,77,11,0
2018-03-18,0,22,0,11,22,0,0,11,0,22,11,19,34,19,0
2018-03-25,0,30,0,23,11,0,0,11,11,34,0,23,86,0,0
2018-04-01,0,0,0,23,19,0,0,15,12,41,12,12,39,0,0
2018-04-08,0,11,17,11,11,11,0,17,11,30,11,17,68,17,0
2018-04-15,0,35,12,12,30,12,0,24,0,24,23,24,28,0,0
2018-04-22,12,17,12,0,41,0,0,12,12,27,11,19,38,12,0
2018-04-29,12,12,12,12,20,12,12,35,12,43,12,20,43,12,0
2018-05-06,0,12,0,12,12,0,0,29,0,47,12,50,52,16,0
2018-05-13,17,11,0,0,11,22,11,28,11,37,22,22,63,11,0
2018-05-20,11,11,11,11,17,0,0,17,11,23,17,40,57,11,0
2018-05-27,0,11,26,11,11,11,11,16,16,37,11,29,55,11,0
2018-06-03,11,0,17,11,22,0,0,19,11,33,22,22,56,17,0
2018-06-10,11,16,16,16,15,16,11,11,22,22,0,36,25,0,0
2018-06-17,0,0,11,17,11,0,11,15,11,30,11,22,56,0,0
2018-06-24,11,17,23,17,23,0,0,22,0,17,23,30,19,11,0
2018-07-01,11,11,15,0,15,0,0,22,11,38,17,28,38,11,0
2018-07-08,0,12,12,18,24,0,0,20,12,24,12,36,44,12,0
2018-07-15,0,13,38,17,13,0,0,13,0,25,19,25,19,0,0
2018-07-22,0,25,21,0,12,0,12,0,0,25,12,12,25,0,0
2018-07-29,0,13,25,21,19,0,0,13,19,51,13,21,47,13,0
2018-08-05,0,0,19,13,19,26,0,26,0,38,13,34,52,13,0
2018-08-12,0,13,17,13,26,13,0,13,13,19,13,13,34,13,0
2018-08-19,0,12,12,18,12,0,0,0,0,30,12,28,49,12,0
2018-08-26,12,12,12,23,27,0,12,12,0,12,12,12,51,12,0
2018-09-02,12,0,12,12,16,0,0,12,12,23,0,12,50,19,0
2018-09-09,0,23,12,11,29,0,0,0,17,35,11,23,65,11,0
2018-09-16,11,11,11,11,19,0,0,11,0,11,17,23,35,17,0
2018-09-23,23,0,0,17,12,0,11,11,12,0,11,23,38,23,0
2018-09-30,0,0,11,12,0,0,0,0,0,12,23,12,40,11,0
2018-10-07,12,0,0,18,23,12,0,12,0,12,0,29,39,18,0
2018-10-14,0,12,0,24,30,0,12,0,0,24,12,35,47,12,0
2018-10-21,0,12,0,24,18,0,0,12,0,12,20,31,39,23,0
2018-10-28,0,0,0,12,23,0,0,0,0,12,23,27,39,0,0
2018-11-04,11,22,22,15,30,11,0,0,11,0,19,19,22,11,0
