date,Psicólogo,wedding planner,clases primaria,Entrenador Personal,Fontanero,Entrega a domicilio,Aire acondicionado,pinturas,portes
2018-01-07,3.885882931628135,2.642400393507132,2.642400393507132,2.642400393507132,3,0,9,10,1
2018-01-14,2.642400393507132,2.642400393507132,2.7978357107722576,4.041318248893261,2,0,10,9,1
2018-01-21,2.642400393507132,0.0,0.0,0.0,2,0,12,15,1
2018-01-28,2.642400393507132,0.0,2.642400393507132,2.642400393507132,3,0,5,13,0
2018-02-04,2.642400393507132,0.0,0.0,2.642400393507132,2,0,11,13,1
2018-02-11,2.642400393507132,2.642400393507132,0.0,4.507624200688637,2,0,8,13,2
2018-02-18,2.642400393507132,0.0,2.642400393507132,4.507624200688637,2,0,10,10,0
2018-02-25,2.4869650762420066,0.0,2.4869650762420066,2.4869650762420066,3,1,8,9,2
2018-03-04,0.0,2.4869650762420066,2.4869650762420066,2.4869650762420066,6,1,8,8,2
2018-03-11,2.4869650762420066,0.0,0.0,5.129365469749138,3,0,5,10,0
2018-03-18,0.0,2.642400393507132,0.0,2.642400393507132,2,1,8,13,2
2018-03-25,2.7978357107722576,0.0,5.595671421544515,2.7978357107722576,2,0,9,6,0
2018-04-01,2.642400393507132,0.0,0.0,2.642400393507132,2,0,10,10,0
2018-04-08,0.0,4.196753566158386,2.4869650762420066,0.0,0,0,8,15,0
2018-04-15,2.642400393507132,2.642400393507132,0.0,2.642400393507132,3,1,15,11,2
2018-04-22,2.642400393507132,0.0,0.0,0.0,3,0,14,13,1
2018-04-29,2.642400393507132,2.642400393507132,0.0,3.885882931628135,2,1,7,11,0
2018-05-06,0.0,0.0,0.0,2.642400393507132,3,0,16,11,1
2018-05-13,2.7978357107722576,0.0,0.0,0.0,2,0,13,10,0
2018-05-20,2.642400393507132,0.0,2.642400393507132,2.642400393507132,1,0,13,12,1
2018-05-27,0.0,2.642400393507132,0.0,2.642400393507132,1,0,11,8,1
2018-06-03,2.642400393507132,2.4869650762420066,0.0,5.129365469749138,3,0,13,10,1
2018-06-10,0.0,0.0,2.4869650762420066,3.419576979832759,3,0,20,16,1
2018-06-17,0.0,0.0,2.7978357107722576,2.7978357107722576,5,0,59,10,2
2018-06-24,4.196753566158386,2.7978357107722576,0.0,2.7978357107722576,1,1,87,11,2
2018-07-01,2.7978357107722576,2.7978357107722576,0.0,2.7978357107722576,4,1,28,9,1
2018-07-08,2.7978357107722576,0.0,0.0,2.7978357107722576,3,0,34,6,2
2018-07-15,0.0,0.0,0.0,2.9532710280373826,2,1,27,9,1
2018-07-22,2.9532710280373826,0.0,0.0,4.818494835218888,2,1,36,9,0
2018-07-29,5.595671421544515,8.393507132316772,0.0,4.196753566158386,2,0,50,11,2
2018-08-05,2.7978357107722576,0.0,2.7978357107722576,2.7978357107722576,3,1,55,12,2
2018-08-12,2.7978357107722576,2.7978357107722576,2.7978357107722576,2.7978357107722576,3,1,30,11,1
2018-08-19,2.642400393507132,4.196753566158386,0.0,2.7978357107722576,3,0,18,10,1
2018-08-26,2.642400393507132,5.284800787014264,0.0,2.642400393507132,3,0,19,11,1
2018-09-02,2.642400393507132,2.642400393507132,5.440236104279389,2.642400393507132,2,0,12,10,1
2018-09-09,2.7978357107722576,2.7978357107722576,2.7978357107722576,0.0,2,0,7,8,1
2018-09-16,2.642400393507132,2.642400393507132,0.0,2.642400393507132,3,0,12,12,0
2018-09-23,5.284800787014264,2.642400393507132,0.0,0.0,4,0,9,12,2
2018-09-30,0.0,0.0,2.642400393507132,4.507624200688637,3,0,8,10,1
2018-10-07,2.642400393507132,0.0,5.440236104279389,0.0,3,1,9,12,1
2018-10-14,5.284800787014264,0.0,0.0,2.642400393507132,1,0,11,12,1
2018-10-21,3.5750122970978846,2.642400393507132,0.0,5.440236104279389,4,0,8,13,2
2018-10-28,2.642400393507132,0.0,0.0,0.0,5,0,18,13,1
2018-11-04,2.4869650762420066,4.973930152484013,0.0,0.0,3,1,12,9,1
2018-11-11,2.642400393507132,0.0,3.419576979832759,0.0,3,0,9,10,1
2018-11-18,2.4869650762420066,2.4869650762420066,0.0,0.0,2,0,7,7,3
2018-11-25,2.642400393507132,0.0,0.0,3.419576979832759,1,0,6,6,1
2018-12-02,3.5750122970978846,2.7978357107722576,0.0,2.7978357107722576,5,0,10,8,1
2018-12-09,3.5750122970978846,0.0,4.041318248893261,2.642400393507132,1,0,9,8,3
2018-12-16,3.5750122970978846,0.0,0.0,4.041318248893261,2,0,7,9,1
2018-12-23,4.352188883423511,0.0,0.0,5.75110673880964,1,1,10,6,1
2018-12-30,2.7978357107722576,2.7978357107722576,0.0,2.7978357107722576,2,0,8,8,1
2019-01-06,2.642400393507132,2.642400393507132,2.642400393507132,7.927201180521396,1,1,7,10,2
2019-01-13,0.0,2.4869650762420066,2.4869650762420066,2.4869650762420066,2,0,8,6,0
2019-01-20,4.818494835218888,2.331529758976881,2.331529758976881,3.5750122970978846,1,0,9,8,0
2019-01-27,4.973930152484013,2.4869650762420066,0.0,2.4869650762420066,3,1,8,9,1
2019-02-03,2.642400393507132,3.885882931628135,0.0,2.642400393507132,2,0,7,10,1
2019-02-10,2.642400393507132,2.642400393507132,0.0,3.885882931628135,2,0,8,13,2
2019-02-17,6.061977373339891,0.0,0.0,0.0,1,0,9,12,2
2019-02-24,2.642400393507132,2.642400393507132,0.0,3.885882931628135,2,0,9,8,1
2019-03-03,0.0,5.284800787014264,0.0,2.642400393507132,2,0,10,13,1
2019-03-10,2.642400393507132,4.041318248893261,2.642400393507132,5.284800787014264,2,1,10,11,2
2019-03-17,5.284800787014264,0.0,2.642400393507132,2.642400393507132,1,0,9,9,0
2019-03-24,4.041318248893261,2.642400393507132,0.0,2.642400393507132,3,0,9,10,1
2019-03-31,0.0,0.0,2.4869650762420066,2.4869650762420066,3,0,11,12,1
2019-04-07,5.284800787014264,2.642400393507132,2.642400393507132,2.642400393507132,1,0,8,10,1
2019-04-14,2.4869650762420066,0.0,0.0,2.4869650762420066,2,1,8,7,2
2019-04-21,3.2641416625676336,2.4869650762420066,0.0,2.4869650762420066,2,0,8,7,1
2019-04-28,2.4869650762420066,0.0,0.0,2.4869650762420066,2,0,9,9,1
2019-05-05,2.642400393507132,0.0,0.0,3.885882931628135,3,1,16,7,1
2019-05-12,2.642400393507132,0.0,0.0,5.284800787014264,3,1,18,9,1
2019-05-19,5.284800787014264,0.0,0.0,3.885882931628135,2,1,14,13,1
2019-05-26,3.419576979832759,0.0,5.129365469749138,2.642400393507132,2,0,23,8,1
2019-06-02,3.73044761436301,2.4869650762420066,2.4869650762420066,3.73044761436301,2,1,30,10,0
2019-06-09,2.4869650762420066,0.0,2.642400393507132,0.0,3,1,19,9,2
2019-06-16,3.5750122970978846,2.642400393507132,2.642400393507132,5.440236104279389,2,0,26,12,1
2019-06-23,4.507624200688637,0.0,5.284800787014264,0.0,2,0,100,11,1
2019-06-30,5.440236104279389,2.642400393507132,0.0,0.0,2,0,97,7,1
2019-07-07,5.284800787014264,0.0,2.642400393507132,0.0,2,0,50,12,2
2019-07-14,2.7978357107722576,2.642400393507132,0.0,2.7978357107722576,3,1,49,9,1
2019-07-21,5.595671421544515,2.7978357107722576,0.0,0.0,3,0,63,8,2
2019-07-28,0.0,0.0,0.0,0.0,2,0,24,9,1
2019-08-04,2.7978357107722576,2.7978357107722576,0.0,0.0,3,0,25,14,1
2019-08-11,5.284800787014264,2.642400393507132,0.0,4.041318248893261,4,0,21,12,1
2019-08-18,3.419576979832759,2.642400393507132,2.642400393507132,2.642400393507132,1,0,15,9,1
2019-08-25,2.4869650762420066,2.4869650762420066,0.0,3.2641416625676336,3,1,12,8,1
2019-09-01,2.4869650762420066,0.0,0.0,4.973930152484013,3,0,12,7,1
2019-09-08,4.973930152484013,2.4869650762420066,4.818494835218888,2.4869650762420066,2,0,8,9,2
2019-09-15,3.73044761436301,2.4869650762420066,2.4869650762420066,2.4869650762420066,3,0,6,7,2
2019-09-22,3.73044761436301,2.4869650762420066,0.0,3.73044761436301,3,0,9,10,1
2019-09-29,2.4869650762420066,7.305459911460894,0.0,3.5750122970978846,2,0,9,8,2
2019-10-06,3.5750122970978846,2.331529758976881,0.0,3.5750122970978846,4,0,6,10,2
2019-10-13,2.331529758976881,2.331529758976881,0.0,5.906542056074765,1,0,9,10,1
2019-10-20,3.419576979832759,2.331529758976881,2.331529758976881,2.331529758976881,2,0,15,8,2
2019-10-27,3.108706345302508,2.331529758976881,2.331529758976881,2.331529758976881,4,0,8,11,1
2019-11-03,4.507624200688637,2.331529758976881,2.331529758976881,3.419576979832759,2,0,11,10,0
2019-11-10,2.331529758976881,4.507624200688637,2.331529758976881,2.331529758976881,4,0,11,12,0
2019-11-17,4.507624200688637,2.331529758976881,0.0,4.663059517953762,3,0,14,13,2
2019-11-24,2.9532710280373826,2.1760944417117556,0.0,2.1760944417117556,4,0,9,9,2
2019-12-01,3.419576979832759,2.331529758976881,2.331529758976881,2.331529758976881,4,0,9,8,1
2019-12-08,4.663059517953762,2.331529758976881,2.331529758976881,0.0,7,0,8,7,1
2019-12-15,5.75110673880964,0.0,2.331529758976881,6.839153959665518,3,0,8,9,2
2019-12-22,2.331529758976881,4.818494835218888,2.4869650762420066,5.595671421544515,4,0,3,7,2
2019-12-29,4.818494835218888,2.331529758976881,0.0,4.818494835218888,5,0,12,6,1
2020-01-05,3.419576979832759,0.0,0.0,4.663059517953762,2,0,10,8,2
2020-01-12,5.284800787014264,2.1760944417117556,4.196753566158386,3.108706345302508,3,0,11,8,1
2020-01-19,3.419576979832759,2.0206591244466305,2.0206591244466305,4.196753566158386,2,0,8,10,1
2020-01-26,3.2641416625676336,2.1760944417117556,2.1760944417117556,2.1760944417117556,1,0,8,6,1
2020-02-02,4.352188883423511,2.1760944417117556,2.1760944417117556,8.548942449581897,3,1,6,10,1
2020-02-09,5.440236104279389,8.704377766847022,0.0,2.1760944417117556,3,1,7,11,0
2020-02-16,4.352188883423511,0.0,2.1760944417117556,5.595671421544515,4,0,8,12,2
2020-02-23,2.7978357107722576,4.352188883423511,2.1760944417117556,2.1760944417117556,3,0,11,14,1
2020-03-01,2.0206591244466305,2.0206591244466305,0.0,3.108706345302508,3,1,10,10,2
2020-03-08,3.419576979832759,2.0206591244466305,2.0206591244466305,2.9532710280373826,2,0,7,8,3
2020-03-15,3.73044761436301,0.0,1.865223807181505,1.865223807181505,2,2,4,14,1
2020-03-22,1.7097884899163796,1.7097884899163796,0.0,4.507624200688637,1,1,4,10,1
2020-03-29,1.7097884899163796,1.7097884899163796,0.0,1.7097884899163796,2,2,5,10,1
2020-04-05,0.0,1.865223807181505,0.0,2.642400393507132,1,1,4,14,1
2020-04-12,2.4869650762420066,1.7097884899163796,0.0,1.7097884899163796,2,1,7,18,1
2020-04-19,3.2641416625676336,1.7097884899163796,2.4869650762420066,4.196753566158386,2,1,6,21,1
2020-04-26,1.7097884899163796,2.642400393507132,0.0,2.642400393507132,3,1,7,20,1
2020-05-03,1.7097884899163796,1.7097884899163796,0.0,3.419576979832759,2,1,20,22,2
2020-05-10,2.1760944417117556,1.7097884899163796,1.7097884899163796,4.973930152484013,2,1,12,23,1
2020-05-17,2.7978357107722576,0.0,0.0,1.865223807181505,2,0,30,18,1
2020-05-24,2.642400393507132,1.865223807181505,0.0,3.5750122970978846,2,0,46,16,2
2020-05-31,0.0,0.0,0.0,3.73044761436301,2,0,28,18,1
