date,travaux rénovation,paysagiste,piscine semi enterrée,apprendre anglais,Coach sportif,Installation climatisation,Artisan peintre,jardiner,moustiquaire porte,store banne,Cours de cuisine,panneau solaire,Cours de yoga,Gazon synthétique,reparation store
2018-01-07,5,25,16,9,22,5,0,0,0,8,8,29,9,22,0
2018-01-14,0,22,5,14,24,5,5,5,5,13,16,38,16,13,5
2018-01-21,0,20,5,18,14,0,5,11,5,16,8,30,13,14,0
2018-01-28,0,31,5,11,24,6,0,9,0,9,11,35,11,15,0
2018-02-04,7,25,5,13,16,5,5,11,5,14,19,25,16,9,0
2018-02-11,0,25,5,13,21,5,5,8,5,7,8,34,7,28,0
2018-02-18,5,27,8,18,21,0,0,13,0,16,16,30,11,27,0
2018-02-25,5,32,7,8,27,5,5,13,0,16,8,25,8,11,0
2018-03-04,6,15,0,13,20,0,0,11,0,18,6,18,6,15,0
2018-03-11,7,29,7,8,24,8,5,15,5,15,9,38,11,27,5
2018-03-18,0,26,11,11,26,8,5,15,0,22,6,36,11,29,0
2018-03-25,6,39,8,17,28,0,6,13,0,33,9,22,15,41,6
2018-04-01,11,20,6,9,25,6,0,17,6,35,6,37,14,35,6
2018-04-08,0,28,5,12,21,5,5,14,0,35,9,40,8,26,0
2018-04-15,6,25,12,11,23,9,0,15,8,46,6,36,8,59,6
2018-04-22,6,23,6,15,27,0,6,11,10,48,13,36,6,47,6
2018-04-29,5,29,6,20,20,8,0,17,11,40,18,35,14,24,0
2018-05-06,11,22,8,14,18,5,5,11,18,49,8,42,14,43,0
2018-05-13,0,20,13,8,9,5,5,11,13,39,11,45,19,25,0
2018-05-20,11,26,17,9,22,6,6,14,9,65,9,20,8,46,0
2018-05-27,8,13,5,16,20,0,0,11,13,34,11,40,13,27,0
2018-06-03,5,36,5,13,20,5,5,11,19,29,5,34,7,43,11
2018-06-10,0,24,5,16,17,5,5,5,10,28,16,35,5,42,5
2018-06-17,5,26,7,14,13,5,6,13,26,35,8,31,8,33,6
2018-06-24,0,18,16,8,20,5,0,14,23,36,11,34,8,45,5
2018-07-01,5,28,5,5,14,9,5,0,11,43,11,32,7,21,5
2018-07-08,5,18,5,14,14,13,11,8,14,59,5,25,5,21,0
2018-07-15,5,24,5,18,27,5,5,8,11,53,5,31,5,29,11
2018-07-22,11,16,9,7,25,5,5,5,14,25,8,25,13,23,0
2018-07-29,0,21,5,11,16,12,0,5,11,36,8,41,11,9,5
