date,travaux rénovation,Gazon synthétique,piscine semi enterrée,apprendre anglais,Coach sportif,Installation climatisation,Artisan peintre,jardiner,moustiquaire porte,store banne,Cours de cuisine,panneau solaire,paysagiste,Cours de yoga,reparation store
2018-01-07,0,0,0,14,0,0,0,0,0,21,0,14,29,0,0
2018-01-14,14,0,14,0,21,21,0,21,0,0,14,28,37,19,0
2018-01-21,0,0,0,14,21,0,0,21,0,14,0,21,47,19,0
2018-01-28,0,14,0,14,21,0,0,21,0,28,0,14,56,19,0
2018-02-04,0,14,0,0,0,0,0,0,0,0,14,14,28,0,0
2018-02-11,14,0,0,0,21,0,0,21,0,0,14,14,29,0,0
2018-02-18,0,14,14,14,32,0,0,21,0,14,14,0,29,0,0
2018-02-25,13,0,0,13,60,0,0,20,0,13,0,20,36,0,0
2018-03-04,0,0,14,14,21,21,0,0,0,28,14,28,65,0,0
2018-03-11,0,14,28,21,21,0,0,31,0,14,14,14,47,0,0
2018-03-18,0,14,0,0,53,0,0,43,0,0,0,14,39,0,0
2018-03-25,0,0,0,0,86,0,0,22,15,44,0,29,29,38,0
2018-04-01,0,15,15,15,33,0,0,52,0,22,0,22,40,0,0
2018-04-08,0,0,0,0,23,0,0,23,0,46,15,31,31,0,0
2018-04-15,0,0,0,0,49,25,0,61,16,41,0,49,33,0,0
2018-04-22,0,0,15,0,0,0,0,33,15,51,15,15,59,0,0
2018-04-29,15,15,15,0,65,0,0,65,0,44,0,15,29,0,0
2018-05-06,0,0,0,15,23,0,0,60,15,75,0,22,71,0,0
2018-05-13,14,0,0,14,22,0,0,32,0,21,0,14,68,0,0
2018-05-20,0,30,0,0,38,0,0,38,15,23,0,30,41,0,0
2018-05-27,0,0,0,15,0,0,0,59,29,15,15,15,30,0,0
2018-06-03,0,15,0,15,22,0,0,67,0,37,0,0,20,20,0
2018-06-10,0,14,0,14,21,0,0,36,14,22,14,50,39,19,0
2018-06-17,0,15,0,0,46,0,0,45,23,30,0,0,31,0,0
2018-06-24,0,0,15,15,67,23,0,44,0,30,0,22,20,0,0
2018-07-01,14,14,22,14,22,0,0,87,14,43,0,43,39,0,0
2018-07-08,0,0,31,0,23,0,0,23,0,31,15,23,21,21,0
2018-07-15,0,0,24,16,24,0,0,72,0,48,0,40,43,22,0
2018-07-22,16,0,32,16,37,0,0,24,16,49,0,16,66,0,0
2018-07-29,0,17,33,0,25,0,0,37,0,25,0,17,45,22,0
2018-08-05,0,17,17,0,25,37,0,37,0,33,0,33,56,0,0
2018-08-12,0,0,17,0,25,0,0,38,0,50,0,17,23,0,0
2018-08-19,0,0,16,16,24,0,0,24,0,24,16,32,43,0,0
2018-08-26,0,0,15,0,22,0,0,68,0,23,0,30,21,0,0
2018-09-02,0,0,0,15,35,0,0,23,0,31,15,0,21,0,0
2018-09-09,0,0,0,15,0,0,0,23,0,16,31,16,84,21,0
2018-09-16,0,0,0,15,0,0,0,34,0,15,0,15,0,0,0
2018-09-23,0,0,0,15,46,0,0,0,0,0,15,31,62,0,0
2018-09-30,0,0,0,0,23,0,0,0,0,0,15,15,41,0,0
2018-10-07,0,15,0,0,0,0,0,23,0,15,0,23,52,0,0
2018-10-14,0,0,0,0,0,0,0,23,0,16,0,31,85,0,0
2018-10-21,0,0,0,0,35,0,0,0,16,0,0,31,31,0,0
2018-10-28,15,0,0,15,22,0,0,22,0,15,30,37,20,40,0
2018-11-04,0,0,15,15,0,0,0,0,0,0,0,44,20,0,0
2018-11-11,0,0,0,0,40,0,0,0,0,13,0,27,18,18,0
2018-11-18,0,15,15,29,0,0,0,0,0,0,29,36,0,0,0
2018-11-25,0,0,0,15,22,0,0,33,0,0,0,51,79,20,0
2018-12-02,0,0,0,0,22,0,0,0,0,0,14,15,20,0,0
2018-12-09,0,0,0,15,22,0,0,0,0,0,22,15,40,0,0
2018-12-16,0,0,0,15,22,23,0,23,0,0,30,30,20,0,0
2018-12-23,0,0,0,0,23,0,0,23,0,0,15,23,21,0,0
2018-12-30,0,0,0,15,34,0,0,23,0,15,30,30,41,0,0
2019-01-06,0,0,0,14,22,0,0,22,0,0,0,29,39,0,0
2019-01-13,0,0,0,14,0,0,0,22,0,0,0,29,58,0,0
2019-01-20,0,0,0,0,21,0,0,21,0,0,0,35,28,0,0
2019-01-27,0,0,0,14,21,0,0,21,0,14,0,28,19,0,0
2019-02-03,0,15,0,15,22,0,0,22,0,15,14,51,19,20,0
2019-02-10,0,0,15,15,0,0,0,22,14,14,0,29,78,0,0
2019-02-17,0,0,15,0,69,0,0,23,0,15,0,38,20,0,0
2019-02-24,0,22,0,0,44,0,0,29,15,29,15,22,40,0,0
2019-03-03,0,14,14,14,0,0,0,42,0,14,14,35,38,0,0
2019-03-10,0,0,0,36,21,0,0,65,0,36,0,14,67,0,0
2019-03-17,0,0,0,0,0,0,0,52,0,15,0,37,30,0,0
2019-03-24,0,15,0,0,23,0,0,52,15,45,0,15,50,40,0
2019-03-31,14,0,0,15,22,0,0,22,0,29,15,14,39,20,0
2019-04-07,0,15,14,0,43,0,0,43,0,14,0,22,39,0,0
2019-04-14,0,15,15,0,0,0,0,46,15,15,0,46,83,0,0
2019-04-21,15,15,15,0,0,0,0,22,0,52,0,60,41,0,0
2019-04-28,0,0,14,0,21,0,0,42,14,28,0,28,19,0,0
2019-05-05,0,14,14,42,21,0,0,52,0,35,0,28,19,0,0
2019-05-12,0,15,0,15,33,0,0,66,0,15,0,29,79,0,0
2019-05-19,0,29,0,0,37,0,0,44,0,29,14,44,30,20,0
2019-05-26,15,45,15,0,22,22,0,44,15,45,0,30,100,0,0
2019-06-02,0,14,14,0,0,21,0,83,21,57,0,29,48,0,0
2019-06-09,0,14,14,0,41,0,0,31,14,27,0,34,0,18,0
2019-06-16,0,29,22,0,22,0,0,66,0,59,0,22,50,0,0
2019-06-23,0,15,30,0,0,33,0,45,0,52,0,45,30,0,0
2019-06-30,0,14,72,14,0,22,0,54,14,43,0,22,59,0,0
2019-07-07,0,0,0,15,0,0,0,33,0,29,15,29,30,0,0
2019-07-14,15,15,15,15,23,0,0,23,0,30,0,30,31,0,0
2019-07-21,0,0,0,0,24,24,0,0,16,24,16,39,32,0,0
2019-07-28,0,0,0,16,24,24,0,24,0,32,0,65,21,0,0
