date,travaux rénovation,Gazon synthétique,piscine semi enterrée,apprendre anglais,paysagiste,Coach sportif,Installation climatisation,Artisan peintre,jardiner,moustiquaire porte,Cours de cuisine,panneau solaire,Cours de yoga,reparation store,store banne
2018-01-07,7.45699555918534,7.45699555918534,2.982798223674136,40.26777601960084,41.89233576642336,22.215632603406327,1.2694647201946472,2.5389294403892944,5,0,12,29,7,2,8
2018-01-14,8.948394671022408,10.439793782859475,4.474197335511204,37.2849777959267,39.988138686131386,17.77250608272506,0.6347323600973236,2.5389294403892944,5,0,10,30,9,1,7
2018-01-21,4.474197335511204,10.439793782859475,4.474197335511204,34.30217957225256,46.97019464720194,19.041970802919707,1.2694647201946472,2.5389294403892944,6,1,11,29,9,1,9
2018-01-28,5.965596447348272,13.422592006533613,7.45699555918534,40.26777601960084,37.44920924574209,29.197688564476884,1.2694647201946472,3.8083941605839415,8,1,13,29,8,1,9
2018-02-04,10.439793782859475,8.948394671022408,7.45699555918534,35.79357868408963,33.64081508515815,14.598844282238442,1.2694647201946472,1.9041970802919708,8,1,9,29,7,1,9
2018-02-11,7.45699555918534,10.439793782859475,4.474197335511204,37.2849777959267,40.62287104622871,19.67670316301703,1.2694647201946472,1.9041970802919708,10,1,12,24,7,1,9
2018-02-18,5.965596447348272,22.370986677556022,4.474197335511204,32.810780460415494,43.79653284671533,19.041970802919707,1.9041970802919708,1.2694647201946472,13,1,10,27,9,2,14
2018-02-25,8.948394671022408,16.405390230207747,8.948394671022408,25.353784901230153,35.54501216545012,15.86830900243309,0.6347323600973236,1.9041970802919708,13,0,11,30,9,1,13
2018-03-04,5.965596447348272,23.862385789393088,8.948394671022408,31.31938134857843,45.7007299270073,20.311435523114355,0.6347323600973236,1.9041970802919708,17,1,10,29,8,2,19
2018-03-11,8.948394671022408,23.862385789393088,7.45699555918534,43.25057424327497,48.23965936739659,19.67670316301703,1.2694647201946472,2.5389294403892944,18,1,11,32,8,1,21
2018-03-18,7.45699555918534,26.845184013067225,11.931192894696544,31.31938134857843,45.7007299270073,20.311435523114355,1.9041970802919708,2.5389294403892944,17,1,10,28,7,1,20
2018-03-25,5.965596447348272,34.30217957225256,10.439793782859475,35.79357868408963,45.06599756690998,26.024026763990268,1.2694647201946472,1.2694647201946472,22,2,10,33,8,1,24
2018-04-01,4.474197335511204,37.2849777959267,11.931192894696544,31.31938134857843,47.60492700729927,21.580900243309003,1.9041970802919708,1.9041970802919708,30,2,10,30,9,1,30
2018-04-08,7.45699555918534,43.25057424327497,7.45699555918534,23.862385789393088,48.874391727493915,18.407238442822383,0.6347323600973236,1.9041970802919708,24,2,11,31,7,2,30
2018-04-15,4.474197335511204,62.63876269715686,14.91399111837068,23.862385789393088,50.14385644768856,20.311435523114355,3.8083941605839415,1.2694647201946472,35,7,9,30,6,1,54
2018-04-22,2.982798223674136,55.18176713797151,17.896789342044816,26.845184013067225,50.14385644768856,19.041970802919707,1.2694647201946472,1.9041970802919708,36,9,8,32,7,2,52
2018-04-29,7.45699555918534,35.79357868408963,10.439793782859475,28.33658312490429,41.257603406326034,17.77250608272506,1.9041970802919708,1.2694647201946472,36,4,9,30,7,2,38
2018-05-06,2.982798223674136,41.7591751314379,22.370986677556022,26.845184013067225,39.35340632603406,19.041970802919707,1.9041970802919708,0.6347323600973236,39,8,8,35,6,2,59
2018-05-13,5.965596447348272,26.845184013067225,8.948394671022408,29.82798223674136,42.52706812652068,19.041970802919707,1.9041970802919708,1.9041970802919708,27,3,11,29,7,1,33
2018-05-20,5.965596447348272,55.18176713797151,17.896789342044816,25.353784901230153,45.7007299270073,20.94616788321168,3.173661800486618,1.2694647201946472,29,7,11,33,6,0,45
2018-05-27,5.965596447348272,38.77637690776377,14.91399111837068,23.862385789393088,40.62287104622871,20.311435523114355,1.9041970802919708,0.6347323600973236,25,8,8,32,9,1,38
2018-06-03,4.474197335511204,31.31938134857843,19.388188453881884,26.845184013067225,48.23965936739659,20.311435523114355,1.9041970802919708,3.173661800486618,24,5,9,29,8,1,34
2018-06-10,7.45699555918534,26.845184013067225,13.422592006533613,28.33658312490429,41.257603406326034,17.13777372262774,3.173661800486618,1.2694647201946472,17,7,10,27,7,1,26
2018-06-17,4.474197335511204,28.33658312490429,16.405390230207747,31.31938134857843,43.161800486618006,17.77250608272506,2.5389294403892944,1.9041970802919708,16,6,10,26,9,1,34
2018-06-24,2.982798223674136,29.82798223674136,29.82798223674136,17.896789342044816,40.62287104622871,15.86830900243309,3.173661800486618,1.9041970802919708,14,8,6,29,5,2,38
2018-07-01,4.474197335511204,31.31938134857843,29.82798223674136,23.862385789393088,42.52706812652068,16.503041362530414,5.712591240875913,1.2694647201946472,16,8,6,28,7,3,39
