date,Innenputz,isPartial
2018-01-07,38,False
2018-01-14,82,False
2018-01-21,45,False
2018-01-28,45,False
2018-02-04,46,False
2018-02-11,87,False
2018-02-18,39,False
2018-02-25,39,False
2018-03-04,47,False
2018-03-11,39,False
2018-03-18,79,False
2018-03-25,50,False
2018-04-01,34,False
2018-04-08,40,False
2018-04-15,56,False
2018-04-22,35,False
2018-04-29,60,False
2018-05-06,24,False
2018-05-13,23,False
2018-05-20,66,False
2018-05-27,41,False
2018-06-03,23,False
2018-06-10,74,False
2018-06-17,89,False
2018-06-24,30,False
2018-07-01,44,False
2018-07-08,55,False
2018-07-15,67,False
2018-07-22,30,False
2018-07-29,23,False
2018-08-05,48,False
2018-08-12,38,False
2018-08-19,50,False
2018-08-26,37,False
2018-09-02,32,False
2018-09-09,39,False
2018-09-16,47,False
2018-09-23,70,False
2018-09-30,39,False
2018-10-07,0,False
2018-10-14,69,False
2018-10-21,23,False
2018-10-28,38,False
2018-11-04,55,False
2018-11-11,38,False
2018-11-18,44,False
2018-11-25,100,False
2018-12-02,44,False
2018-12-09,78,False
2018-12-16,46,False
2018-12-23,40,False
2018-12-30,60,False
2019-01-06,56,False
2019-01-13,35,False
2019-01-20,56,False
2019-01-27,42,False
2019-02-03,49,False
2019-02-10,29,False
2019-02-17,57,False
2019-02-24,66,False
2019-03-03,29,False
2019-03-10,32,False
2019-03-17,30,False
2019-03-24,68,False
2019-03-31,34,False
2019-04-07,33,False
2019-04-14,60,False
2019-04-21,82,False
2019-04-28,66,False
2019-05-05,86,False
2019-05-12,65,False
2019-05-19,43,False
2019-05-26,0,False
2019-06-02,37,False
2019-06-09,47,False
2019-06-16,46,False
2019-06-23,78,False
2019-06-30,54,False
2019-07-07,73,False
2019-07-14,33,False
2019-07-21,57,False
2019-07-28,67,False
2019-08-04,35,False
2019-08-11,23,False
2019-08-18,56,False
2019-08-25,23,False
2019-09-01,33,False
2019-09-08,44,False
2019-09-15,44,False
2019-09-22,35,False
2019-09-29,43,False
2019-10-06,32,False
2019-10-13,49,False
2019-10-20,62,False
2019-10-27,41,False
2019-11-03,60,False
2019-11-10,21,False
2019-11-17,27,False
2019-11-24,30,False
2019-12-01,70,False
2019-12-08,49,False
2019-12-15,43,False
2019-12-22,41,False
2019-12-29,37,False
2020-01-05,30,False
2020-01-12,45,False
2020-01-19,59,False
2020-01-26,39,False
2020-02-02,26,False
2020-02-09,50,False
2020-02-16,20,False
2020-02-23,39,False
2020-03-01,45,False
2020-03-08,63,False
2020-03-15,23,False
2020-03-22,27,False
2020-03-29,65,False
2020-04-05,71,False
2020-04-12,37,False
2020-04-19,90,False
2020-04-26,30,False
2020-05-03,48,False
2020-05-10,36,False
