geoName,geoCode,Energieausweis
Burgenland,AT-1,100
Carinthia,AT-2,18
Lower Austria,AT-3,50
Salzburg,AT-5,38
Styria,AT-6,42
Tyrol,AT-7,51
Upper Austria,AT-4,72
Vienna,AT-9,38
Vorarlberg,AT-8,46
