,geoName,partition guitare
3,Brittany,68.0
5,Centre-Val de Loire,62.0
7,Corsica,100.0
15,Pays de la Loire,66.0
18,Provence-Alpes-Côte d'Azur,59.0
21,Île-de-France,44.0
22,Grand-est,61.0
23,Hauts-de-france,44.0
24,Normandie,53.0
25,Bourgogne-Franche-Comté,60.0
26,Nouvelle-Aquitaine,57.333333333333336
27,Occitanie,58.0
28,Auvergne-Rhône-Alpes,66.0
