date,partition guitare,isPartial
2018-01-07,88,False
2018-01-14,43,False
2018-01-21,52,False
2018-01-28,50,False
2018-02-04,34,False
2018-02-11,54,False
2018-02-18,29,False
2018-02-25,65,False
2018-03-04,33,False
2018-03-11,67,False
2018-03-18,44,False
2018-03-25,40,False
2018-04-01,30,False
2018-04-08,100,False
2018-04-15,61,False
2018-04-22,46,False
2018-04-29,35,False
2018-05-06,48,False
2018-05-13,50,False
2018-05-20,31,False
2018-05-27,45,False
2018-06-03,36,False
2018-06-10,39,False
2018-06-17,62,False
2018-06-24,56,False
2018-07-01,40,False
2018-07-08,51,False
2018-07-15,48,False
2018-07-22,49,False
2018-07-29,57,False
2018-08-05,33,False
2018-08-12,74,False
2018-08-19,41,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,36,False
2018-09-16,31,False
2018-09-23,41,False
2018-09-30,36,False
2018-10-07,47,False
2018-10-14,47,False
2018-10-21,48,False
2018-10-28,67,False
2018-11-04,35,False
2018-11-11,51,False
2018-11-18,67,False
2018-11-25,60,False
2018-12-02,50,False
2018-12-09,40,False
2018-12-16,41,False
2018-12-23,73,False
2018-12-30,84,False
2019-01-06,44,False
2019-01-13,39,False
2019-01-20,48,False
2019-01-27,28,False
2019-02-03,53,False
2019-02-10,78,False
2019-02-17,45,False
2019-02-24,44,False
2019-03-03,49,False
2019-03-10,72,False
2019-03-17,25,False
2019-03-24,44,False
2019-03-31,28,False
2019-04-07,84,False
2019-04-14,44,False
2019-04-21,43,False
2019-04-28,33,False
2019-05-05,50,False
2019-05-12,55,False
2019-05-19,37,False
2019-05-26,20,False
2019-06-02,42,False
2019-06-09,63,False
2019-06-16,33,False
2019-06-23,33,False
2019-06-30,21,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,36,False
2019-07-28,39,False
2019-08-04,40,False
2019-08-11,24,False
2019-08-18,16,False
2019-08-25,30,False
2019-09-01,45,False
2019-09-08,61,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,50,False
2019-10-06,28,False
2019-10-13,41,False
2019-10-20,68,False
2019-10-27,35,False
2019-11-03,51,False
2019-11-10,43,False
2019-11-17,30,False
2019-11-24,29,False
2019-12-01,38,False
2019-12-08,54,False
2019-12-15,30,False
2019-12-22,88,False
2019-12-29,63,False
2020-01-05,25,False
2020-01-12,21,False
2020-01-19,58,False
2020-01-26,28,False
2020-02-02,55,False
2020-02-09,48,False
2020-02-16,47,False
2020-02-23,23,False
2020-03-01,18,False
2020-03-08,47,False
2020-03-15,49,False
2020-03-22,62,False
2020-03-29,74,False
2020-04-05,89,False
2020-04-12,96,False
2020-04-19,67,False
2020-04-26,67,False
2020-05-03,57,False
2020-05-10,44,False
2020-05-17,56,True
