geoName,geoCode,Glasbau
Baden-Württemberg,DE-BW,33
Bavaria,DE-BY,43
Berlin,DE-BE,15
Brandenburg,DE-BB,19
Bremen,DE-HB,82
Hamburg,DE-HH,26
Hesse,DE-HE,51
Lower Saxony,DE-NI,56
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,50
Rhineland-Palatinate,DE-RP,39
Saarland,DE-SL,83
Saxony,DE-SN,41
Saxony-Anhalt,DE-ST,31
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,45
