,geoName,psychologue enfant
3,Brittany,75.0
5,Centre-Val de Loire,56.25
7,Corsica,0.0
15,Pays de la Loire,75.0
18,Provence-Alpes-Côte d'Azur,52.5
21,Île-de-France,60.0
22,Grand-est,85.0
23,Hauts-de-france,80.62499999999999
24,Normandie,54.37499999999999
25,Bourgogne-Franche-Comté,57.1875
26,Nouvelle-Aquitaine,100.0
27,Occitanie,55.3125
28,Auvergne-Rhône-Alpes,73.125
