date,climatisation maison
2018-01-07,0.0
2018-01-14,0.0
2018-01-21,0.05291005291005291
2018-01-28,0.05291005291005291
2018-02-04,0.05291005291005291
2018-02-11,0.0
2018-02-18,0.0
2018-02-25,0.0
2018-03-04,0.0
2018-03-11,0.0
2018-03-18,0.0
2018-03-25,0.0
2018-04-01,0.0582010582010582
2018-04-08,0.0582010582010582
2018-04-15,0.14814814814814814
2018-04-22,0.0
2018-04-29,0.1111111111111111
2018-05-06,0.0582010582010582
2018-05-13,0.1693121693121693
2018-05-20,0.0582010582010582
2018-05-27,0.0582010582010582
2018-06-03,0.1746031746031746
2018-06-10,0.05291005291005291
2018-06-17,0.1164021164021164
2018-06-24,0.1164021164021164
2018-07-01,0.25396825396825395
2018-07-08,0.13756613756613756
2018-07-15,0.14814814814814814
2018-07-22,0.18518518518518517
2018-07-29,0.671957671957672
2018-08-05,0.2804232804232804
2018-08-12,0.09523809523809523
2018-08-19,0.06349206349206349
2018-08-26,0.1746031746031746
2018-09-02,0.0
2018-09-09,0.0
2018-09-16,0.0582010582010582
2018-09-23,0.0
2018-09-30,0.0582010582010582
2018-10-07,0.1164021164021164
2018-10-14,0.0
2018-10-21,0.0582010582010582
2018-10-28,0.0582010582010582
2018-11-04,0.0582010582010582
2018-11-11,0.0582010582010582
2018-11-18,0.0582010582010582
2018-11-25,0.0
2018-12-02,0.0582010582010582
2018-12-09,0.0
2018-12-16,0.0582010582010582
2018-12-23,0.0
2018-12-30,0.0
2019-01-06,0.05291005291005291
2019-01-13,0.0
2019-01-20,0.05291005291005291
2019-01-27,0.05291005291005291
2019-02-03,0.0
2019-02-10,0.07936507936507936
2019-02-17,0.0
2019-02-24,0.0582010582010582
2019-03-03,0.05291005291005291
2019-03-10,0.0
2019-03-17,0.24867724867724866
2019-03-24,0.05291005291005291
2019-03-31,0.10052910052910052
2019-04-07,0.05291005291005291
2019-04-14,0.05291005291005291
2019-04-21,0.18518518518518517
2019-04-28,0.05291005291005291
2019-05-05,0.0
2019-05-12,0.23809523809523808
2019-05-19,0.07936507936507936
2019-05-26,0.05291005291005291
2019-06-02,0.2857142857142857
2019-06-09,0.0
2019-06-16,0.21693121693121692
2019-06-23,0.8253968253968254
2019-06-30,1.0
2019-07-07,0.10582010582010581
2019-07-14,0.18518518518518517
2019-07-21,0.798941798941799
2019-07-28,0.164021164021164
2019-08-04,0.1111111111111111
2019-08-11,0.0582010582010582
2019-08-18,0.0582010582010582
2019-08-25,0.2275132275132275
2019-09-01,0.05291005291005291
2019-09-08,0.17989417989417988
2019-09-15,0.05291005291005291
2019-09-22,0.05291005291005291
2019-09-29,0.0
2019-10-06,0.05291005291005291
2019-10-13,0.0
2019-10-20,0.2222222222222222
2019-10-27,0.047619047619047616
2019-11-03,0.047619047619047616
2019-11-10,0.07407407407407407
2019-11-17,0.0
2019-11-24,0.0
2019-12-01,0.0
2019-12-08,0.047619047619047616
2019-12-15,0.164021164021164
2019-12-22,0.0
2019-12-29,0.20105820105820105
2020-01-05,0.047619047619047616
2020-01-12,0.15873015873015872
2020-01-19,0.09523809523809523
2020-01-26,0.08994708994708994
2020-02-02,0.13756613756613756
2020-02-09,0.042328042328042326
2020-02-16,0.06878306878306878
2020-02-23,0.1111111111111111
2020-03-01,0.042328042328042326
2020-03-08,0.042328042328042326
2020-03-15,0.13756613756613756
2020-03-22,0.0
2020-03-29,0.042328042328042326
2020-04-05,0.08465608465608465
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.19047619047619047
2020-05-03,0.0582010582010582
2020-05-10,0.08465608465608465
2020-05-17,0.5079365079365079
