geoName,geoCode,mazzo di fiori
Abruzzo,IT-65,54
Aosta,IT-23,0
Apulia,IT-75,58
Basilicata,IT-77,0
Calabria,IT-78,51
Campania,IT-72,29
Emilia-Romagna,IT-45,71
Friuli-Venezia Giulia,IT-36,45
Lazio,IT-62,51
Liguria,IT-42,46
Lombardy,IT-25,58
Marche,IT-57,79
Molise,IT-67,0
Piedmont,IT-21,77
Sardinia,IT-88,54
Sicily,IT-82,45
Trentino-Alto Adige/South Tyrol,IT-32,44
Tuscany,IT-52,46
Umbria,IT-55,100
Veneto,IT-34,61
