geoName,geoCode,Schiebetor
Baden-Württemberg,DE-BW,30
Bavaria,DE-BY,37
Berlin,DE-BE,17
Brandenburg,DE-BB,93
Bremen,DE-HB,24
Hamburg,DE-HH,31
Hesse,DE-HE,31
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,42
North Rhine-Westphalia,DE-NW,33
Rhineland-Palatinate,DE-RP,42
Saarland,DE-SL,50
Saxony,DE-SN,63
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,41
Thuringia,DE-TH,62
