date,psychologue pour enfant,isPartial
2018-01-07,33,False
2018-01-14,55,False
2018-01-21,45,False
2018-01-28,68,False
2018-02-04,33,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,56,False
2018-03-04,54,False
2018-03-11,54,False
2018-03-18,34,False
2018-03-25,83,False
2018-04-01,43,False
2018-04-08,34,False
2018-04-15,27,False
2018-04-22,20,False
2018-04-29,56,False
2018-05-06,18,False
2018-05-13,42,False
2018-05-20,21,False
2018-05-27,70,False
2018-06-03,50,False
2018-06-10,36,False
2018-06-17,29,False
2018-06-24,30,False
2018-07-01,18,False
2018-07-08,13,False
2018-07-15,23,False
2018-07-22,47,False
2018-07-29,34,False
2018-08-05,28,False
2018-08-12,43,False
2018-08-19,32,False
2018-08-26,39,False
2018-09-02,82,False
2018-09-09,60,False
2018-09-16,19,False
2018-09-23,45,False
2018-09-30,43,False
2018-10-07,43,False
2018-10-14,38,False
2018-10-21,32,False
2018-10-28,26,False
2018-11-04,33,False
2018-11-11,58,False
2018-11-18,29,False
2018-11-25,46,False
2018-12-02,21,False
2018-12-09,47,False
2018-12-16,52,False
2018-12-23,24,False
2018-12-30,41,False
2019-01-06,58,False
2019-01-13,100,False
2019-01-20,73,False
2019-01-27,68,False
2019-02-03,85,False
2019-02-10,51,False
2019-02-17,26,False
2019-02-24,44,False
2019-03-03,49,False
2019-03-10,54,False
2019-03-17,43,False
2019-03-24,51,False
2019-03-31,41,False
2019-04-07,57,False
2019-04-14,39,False
2019-04-21,30,False
2019-04-28,37,False
2019-05-05,20,False
2019-05-12,66,False
2019-05-19,16,False
2019-05-26,54,False
2019-06-02,47,False
2019-06-09,64,False
2019-06-16,29,False
2019-06-23,20,False
2019-06-30,25,False
2019-07-07,29,False
2019-07-14,34,False
2019-07-21,22,False
2019-07-28,13,False
2019-08-04,40,False
2019-08-11,35,False
2019-08-18,35,False
2019-08-25,21,False
2019-09-01,24,False
2019-09-08,48,False
2019-09-15,59,False
2019-09-22,42,False
2019-09-29,65,False
2019-10-06,46,False
2019-10-13,39,False
2019-10-20,27,False
2019-10-27,38,False
2019-11-03,34,False
2019-11-10,46,False
2019-11-17,56,False
2019-11-24,44,False
2019-12-01,22,False
2019-12-08,37,False
2019-12-15,26,False
2019-12-22,13,False
2019-12-29,24,False
2020-01-05,33,False
2020-01-12,96,False
2020-01-19,48,False
2020-01-26,36,False
2020-02-02,51,False
2020-02-09,61,False
2020-02-16,51,False
2020-02-23,37,False
2020-03-01,56,False
2020-03-08,45,False
2020-03-15,13,False
2020-03-22,10,False
2020-03-29,19,False
2020-04-05,23,False
2020-04-12,23,False
2020-04-19,22,False
2020-04-26,22,False
2020-05-03,32,False
2020-05-10,39,False
2020-05-17,47,True
