,geoName,psychologue pour enfant
3,Brittany,95.0
5,Centre-Val de Loire,0.0
7,Corsica,0.0
15,Pays de la Loire,100.0
18,Provence-Alpes-Côte d'Azur,80.0
21,Île-de-France,63.0
22,Grand-est,0.0
23,Hauts-de-france,28.0
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,26.333333333333332
27,Occitanie,35.5
28,Auvergne-Rhône-Alpes,34.5
