geoName,geoCode,Tür
Burgenland,AT-1,100
Carinthia,AT-2,62
Lower Austria,AT-3,91
Salzburg,AT-5,75
Styria,AT-6,96
Tyrol,AT-7,76
Upper Austria,AT-4,84
Vienna,AT-9,81
Vorarlberg,AT-8,93
