date,Tür,isPartial
2018-01-07,13,False
2018-01-14,30,False
2018-01-21,34,False
2018-01-28,26,False
2018-02-04,27,False
2018-02-11,29,False
2018-02-18,25,False
2018-02-25,33,False
2018-03-04,29,False
2018-03-11,37,False
2018-03-18,37,False
2018-03-25,17,False
2018-04-01,13,False
2018-04-08,22,False
2018-04-15,22,False
2018-04-22,26,False
2018-04-29,26,False
2018-05-06,9,False
2018-05-13,34,False
2018-05-20,4,False
2018-05-27,22,False
2018-06-03,42,False
2018-06-10,36,False
2018-06-17,46,False
2018-06-24,21,False
2018-07-01,26,False
2018-07-08,21,False
2018-07-15,22,False
2018-07-22,39,False
2018-07-29,9,False
2018-08-05,29,False
2018-08-12,26,False
2018-08-19,29,False
2018-08-26,24,False
2018-09-02,20,False
2018-09-09,17,False
2018-09-16,20,False
2018-09-23,53,False
2018-09-30,74,False
2018-10-07,59,False
2018-10-14,92,False
2018-10-21,46,False
2018-10-28,67,False
2018-11-04,83,False
2018-11-11,61,False
2018-11-18,62,False
2018-11-25,48,False
2018-12-02,41,False
2018-12-09,24,False
2018-12-16,21,False
2018-12-23,5,False
2018-12-30,40,False
2019-01-06,32,False
2019-01-13,41,False
2019-01-20,26,False
2019-01-27,26,False
2019-02-03,45,False
2019-02-10,15,False
2019-02-17,34,False
2019-02-24,30,False
2019-03-03,46,False
2019-03-10,60,False
2019-03-17,39,False
2019-03-24,38,False
2019-03-31,28,False
2019-04-07,39,False
2019-04-14,13,False
2019-04-21,36,False
2019-04-28,30,False
2019-05-05,22,False
2019-05-12,26,False
2019-05-19,15,False
2019-05-26,11,False
2019-06-02,31,False
2019-06-09,36,False
2019-06-16,19,False
2019-06-23,31,False
2019-06-30,27,False
2019-07-07,30,False
2019-07-14,24,False
2019-07-21,28,False
2019-07-28,43,False
2019-08-04,44,False
2019-08-11,30,False
2019-08-18,40,False
2019-08-25,28,False
2019-09-01,35,False
2019-09-08,22,False
2019-09-15,34,False
2019-09-22,43,False
2019-09-29,38,False
2019-10-06,68,False
2019-10-13,79,False
2019-10-20,46,False
2019-10-27,35,False
2019-11-03,100,False
2019-11-10,62,False
2019-11-17,66,False
2019-11-24,55,False
2019-12-01,50,False
2019-12-08,29,False
2019-12-15,43,False
2019-12-22,31,False
2019-12-29,24,False
2020-01-05,22,False
2020-01-12,57,False
2020-01-19,39,False
2020-01-26,52,False
2020-02-02,31,False
2020-02-09,16,False
2020-02-16,26,False
2020-02-23,26,False
2020-03-01,38,False
2020-03-08,22,False
2020-03-15,17,False
2020-03-22,8,False
2020-03-29,22,False
2020-04-05,31,False
2020-04-12,44,False
2020-04-19,20,False
2020-04-26,23,False
2020-05-03,27,False
2020-05-10,9,False
2020-05-17,32,False
2020-05-24,29,False
2020-05-31,38,False
2020-06-07,18,False
2020-06-14,20,False
2020-06-21,31,False
2020-06-28,26,False
2020-07-05,14,False
