date,Tür,isPartial
2018-01-07,85,False
2018-01-14,79,False
2018-01-21,76,False
2018-01-28,63,False
2018-02-04,57,False
2018-02-11,37,False
2018-02-18,48,False
2018-02-25,56,False
2018-03-04,59,False
2018-03-11,76,False
2018-03-18,20,False
2018-03-25,35,False
2018-04-01,51,False
2018-04-08,56,False
2018-04-15,55,False
2018-04-22,68,False
2018-04-29,30,False
2018-05-06,64,False
2018-05-13,60,False
2018-05-20,90,False
2018-05-27,32,False
2018-06-03,50,False
2018-06-10,39,False
2018-06-17,46,False
2018-06-24,54,False
2018-07-01,13,False
2018-07-08,41,False
2018-07-15,21,False
2018-07-22,53,False
2018-07-29,42,False
2018-08-05,27,False
2018-08-12,25,False
2018-08-19,51,False
2018-08-26,47,False
2018-09-02,75,False
2018-09-09,46,False
2018-09-16,71,False
2018-09-23,66,False
2018-09-30,48,False
2018-10-07,100,False
2018-10-14,76,False
2018-10-21,45,False
2018-10-28,64,False
2018-11-04,71,False
2018-11-11,63,False
2018-11-18,84,False
2018-11-25,54,False
2018-12-02,59,False
2018-12-09,36,False
2018-12-16,36,False
2018-12-23,38,False
2018-12-30,38,False
2019-01-06,66,False
2019-01-13,74,False
2019-01-20,37,False
2019-01-27,56,False
2019-02-03,81,False
2019-02-10,32,False
2019-02-17,53,False
2019-02-24,66,False
2019-03-03,43,False
2019-03-10,45,False
2019-03-17,42,False
2019-03-24,74,False
2019-03-31,36,False
2019-04-07,61,False
2019-04-14,49,False
2019-04-21,58,False
2019-04-28,51,False
2019-05-05,34,False
2019-05-12,52,False
2019-05-19,49,False
2019-05-26,50,False
2019-06-02,54,False
2019-06-09,53,False
2019-06-16,19,False
2019-06-23,23,False
2019-06-30,25,False
2019-07-07,43,False
2019-07-14,33,False
2019-07-21,27,False
2019-07-28,43,False
2019-08-04,27,False
2019-08-11,17,False
2019-08-18,58,False
2019-08-25,54,False
2019-09-01,16,False
2019-09-08,52,False
2019-09-15,61,False
2019-09-22,77,False
2019-09-29,69,False
2019-10-06,58,False
2019-10-13,81,False
2019-10-20,84,False
2019-10-27,51,False
2019-11-03,60,False
2019-11-10,83,False
2019-11-17,94,False
2019-11-24,47,False
2019-12-01,35,False
2019-12-08,35,False
2019-12-15,50,False
2019-12-22,39,False
2019-12-29,61,False
2020-01-05,69,False
2020-01-12,93,False
2020-01-19,79,False
2020-01-26,52,False
2020-02-02,88,False
2020-02-09,26,False
2020-02-16,39,False
2020-02-23,37,False
2020-03-01,59,False
2020-03-08,69,False
2020-03-15,41,False
2020-03-22,39,False
2020-03-29,57,False
2020-04-05,44,False
2020-04-12,42,False
2020-04-19,41,False
2020-04-26,52,False
2020-05-03,48,False
2020-05-10,55,False
2020-05-17,38,False
2020-05-24,44,False
2020-05-31,38,False
2020-06-07,59,False
2020-06-14,27,False
2020-06-21,51,False
2020-06-28,45,False
2020-07-05,38,False
