geoName,geoCode,matrimonio
Abruzzo,IT-65,95
Aosta,IT-23,72
Apulia,IT-75,93
Basilicata,IT-77,96
Calabria,IT-78,99
Campania,IT-72,100
Emilia-Romagna,IT-45,69
Friuli-Venezia Giulia,IT-36,79
Lazio,IT-62,81
Liguria,IT-42,69
Lombardy,IT-25,77
Marche,IT-57,70
Molise,IT-67,94
Piedmont,IT-21,76
Sardinia,IT-88,65
Sicily,IT-82,90
Trentino-Alto Adige/South Tyrol,IT-32,44
Tuscany,IT-52,74
Umbria,IT-55,72
Veneto,IT-34,79
