geoName,geoCode,camiceria
Abruzzo,IT-65,100
Aosta,IT-23,0
Apulia,IT-75,45
Basilicata,IT-77,0
Calabria,IT-78,24
Campania,IT-72,68
Emilia-Romagna,IT-45,55
Friuli-Venezia Giulia,IT-36,54
Lazio,IT-62,67
Liguria,IT-42,33
Lombardy,IT-25,64
Marche,IT-57,89
Molise,IT-67,0
Piedmont,IT-21,47
Sardinia,IT-88,23
Sicily,IT-82,26
Trentino-Alto Adige/South Tyrol,IT-32,31
Tuscany,IT-52,51
Umbria,IT-55,84
Veneto,IT-34,81
