geoName,geoCode,Maquillar
Andalusia,ES-AN,69
Aragon,ES-AR,39
Asturias,ES-AS,71
Balearic Islands,ES-IB,51
Basque Country,ES-PV,67
Canary Islands,ES-CN,60
Cantabria,ES-CB,39
Castile and León,ES-CL,81
Castile-La Mancha,ES-CM,87
Catalonia,ES-CT,66
Ceuta,ES-CE,0
Community of Madrid,ES-MD,61
Extremadura,ES-EX,95
Galicia,ES-GA,68
La Rioja,ES-RI,63
Melilla,ES-ML,0
Navarre,ES-NC,100
Region of Murcia,ES-MC,57
Valencian Community,ES-VC,47
