geoName,geoCode,cover band
Abruzzo,IT-65,52
Aosta,IT-23,0
Apulia,IT-75,55
Basilicata,IT-77,0
Calabria,IT-78,44
Campania,IT-72,15
Emilia-Romagna,IT-45,29
Friuli-Venezia Giulia,IT-36,100
Lazio,IT-62,52
Liguria,IT-42,40
Lombardy,IT-25,32
Marche,IT-57,27
Molise,IT-67,0
Piedmont,IT-21,31
Sardinia,IT-88,56
Sicily,IT-82,48
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,36
Umbria,IT-55,51
Veneto,IT-34,58
