date,Dachdecker,isPartial
2018-01-07,40,False
2018-01-14,42,False
2018-01-21,39,False
2018-01-28,62,False
2018-02-04,51,False
2018-02-11,51,False
2018-02-18,29,False
2018-02-25,26,False
2018-03-04,34,False
2018-03-11,51,False
2018-03-18,23,False
2018-03-25,56,False
2018-04-01,24,False
2018-04-08,33,False
2018-04-15,29,False
2018-04-22,39,False
2018-04-29,27,False
2018-05-06,25,False
2018-05-13,35,False
2018-05-20,24,False
2018-05-27,42,False
2018-06-03,35,False
2018-06-10,51,False
2018-06-17,51,False
2018-06-24,35,False
2018-07-01,55,False
2018-07-08,19,False
2018-07-15,78,False
2018-07-22,19,False
2018-07-29,49,False
2018-08-05,25,False
2018-08-12,23,False
2018-08-19,17,False
2018-08-26,23,False
2018-09-02,47,False
2018-09-09,53,False
2018-09-16,35,False
2018-09-23,41,False
2018-09-30,19,False
2018-10-07,27,False
2018-10-14,43,False
2018-10-21,28,False
2018-10-28,51,False
2018-11-04,49,False
2018-11-11,33,False
2018-11-18,40,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,35,False
2018-12-16,53,False
2018-12-23,0,False
2018-12-30,57,False
2019-01-06,66,False
2019-01-13,49,False
2019-01-20,38,False
2019-01-27,33,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,34,False
2019-02-24,43,False
2019-03-03,44,False
2019-03-10,25,False
2019-03-17,28,False
2019-03-24,63,False
2019-03-31,60,False
2019-04-07,18,False
2019-04-14,39,False
2019-04-21,18,False
2019-04-28,35,False
2019-05-05,45,False
2019-05-12,40,False
2019-05-19,50,False
2019-05-26,26,False
2019-06-02,50,False
2019-06-09,26,False
2019-06-16,51,False
2019-06-23,35,False
2019-06-30,38,False
2019-07-07,35,False
2019-07-14,37,False
2019-07-21,29,False
2019-07-28,38,False
2019-08-04,55,False
2019-08-11,72,False
2019-08-18,28,False
2019-08-25,34,False
2019-09-01,51,False
2019-09-08,44,False
2019-09-15,45,False
2019-09-22,33,False
2019-09-29,100,False
2019-10-06,61,False
2019-10-13,48,False
2019-10-20,26,False
2019-10-27,32,False
2019-11-03,54,False
2019-11-10,53,False
2019-11-17,31,False
2019-11-24,38,False
2019-12-01,39,False
2019-12-08,16,False
2019-12-15,48,False
2019-12-22,0,False
2019-12-29,18,False
2020-01-05,60,False
2020-01-12,43,False
2020-01-19,40,False
2020-01-26,30,False
2020-02-02,30,False
2020-02-09,70,False
2020-02-16,30,False
2020-02-23,40,False
2020-03-01,45,False
2020-03-08,36,False
2020-03-15,32,False
2020-03-22,63,False
2020-03-29,33,False
2020-04-05,23,False
2020-04-12,20,False
2020-04-19,43,False
2020-04-26,28,False
2020-05-03,58,False
2020-05-10,43,False
