date,Dachdecker,isPartial
2018-01-07,47,False
2018-01-14,74,False
2018-01-21,65,False
2018-01-28,48,False
2018-02-04,45,False
2018-02-11,41,False
2018-02-18,55,False
2018-02-25,35,False
2018-03-04,44,False
2018-03-11,49,False
2018-03-18,43,False
2018-03-25,43,False
2018-04-01,37,False
2018-04-08,62,False
2018-04-15,51,False
2018-04-22,53,False
2018-04-29,46,False
2018-05-06,31,False
2018-05-13,37,False
2018-05-20,49,False
2018-05-27,40,False
2018-06-03,46,False
2018-06-10,63,False
2018-06-17,43,False
2018-06-24,42,False
2018-07-01,56,False
2018-07-08,39,False
2018-07-15,54,False
2018-07-22,40,False
2018-07-29,48,False
2018-08-05,59,False
2018-08-12,59,False
2018-08-19,41,False
2018-08-26,47,False
2018-09-02,39,False
2018-09-09,50,False
2018-09-16,55,False
2018-09-23,72,False
2018-09-30,44,False
2018-10-07,49,False
2018-10-14,55,False
2018-10-21,29,False
2018-10-28,44,False
2018-11-04,33,False
2018-11-11,59,False
2018-11-18,36,False
2018-11-25,43,False
2018-12-02,47,False
2018-12-09,53,False
2018-12-16,27,False
2018-12-23,15,False
2018-12-30,25,False
2019-01-06,46,False
2019-01-13,40,False
2019-01-20,34,False
2019-01-27,39,False
2019-02-03,40,False
2019-02-10,45,False
2019-02-17,52,False
2019-02-24,51,False
2019-03-03,57,False
2019-03-10,81,False
2019-03-17,71,False
2019-03-24,46,False
2019-03-31,54,False
2019-04-07,53,False
2019-04-14,49,False
2019-04-21,41,False
2019-04-28,45,False
2019-05-05,50,False
2019-05-12,68,False
2019-05-19,57,False
2019-05-26,40,False
2019-06-02,47,False
2019-06-09,33,False
2019-06-16,46,False
2019-06-23,61,False
2019-06-30,42,False
2019-07-07,47,False
2019-07-14,43,False
2019-07-21,50,False
2019-07-28,40,False
2019-08-04,60,False
2019-08-11,59,False
2019-08-18,76,False
2019-08-25,64,False
2019-09-01,67,False
2019-09-08,53,False
2019-09-15,43,False
2019-09-22,56,False
2019-09-29,52,False
2019-10-06,70,False
2019-10-13,60,False
2019-10-20,46,False
2019-10-27,33,False
2019-11-03,54,False
2019-11-10,61,False
2019-11-17,37,False
2019-11-24,54,False
2019-12-01,41,False
2019-12-08,47,False
2019-12-15,49,False
2019-12-22,24,False
2019-12-29,28,False
2020-01-05,42,False
2020-01-12,48,False
2020-01-19,57,False
2020-01-26,54,False
2020-02-02,61,False
2020-02-09,100,False
2020-02-16,69,False
2020-02-23,58,False
2020-03-01,72,False
2020-03-08,53,False
2020-03-15,38,False
2020-03-22,36,False
2020-03-29,42,False
2020-04-05,41,False
2020-04-12,43,False
2020-04-19,59,False
2020-04-26,67,False
2020-05-03,61,False
2020-05-10,65,False
