geoName,geoCode,Dachdecker
Baden-Württemberg,DE-BW,31
Bavaria,DE-BY,25
Berlin,DE-BE,25
Brandenburg,DE-BB,60
Bremen,DE-HB,71
Hamburg,DE-HH,31
Hesse,DE-HE,55
Lower Saxony,DE-NI,65
Mecklenburg-Vorpommern,DE-MV,53
North Rhine-Westphalia,DE-NW,69
Rhineland-Palatinate,DE-RP,74
Saarland,DE-SL,100
Saxony,DE-SN,51
Saxony-Anhalt,DE-ST,53
Schleswig-Holstein,DE-SH,52
Thuringia,DE-TH,59
