geoName,geoCode,idee matrimonio
Abruzzo,IT-65,55
Aosta,IT-23,0
Apulia,IT-75,27
Basilicata,IT-77,100
Calabria,IT-78,19
Campania,IT-72,48
Emilia-Romagna,IT-45,26
Friuli-Venezia Giulia,IT-36,0
Lazio,IT-62,36
Liguria,IT-42,42
Lombardy,IT-25,36
Marche,IT-57,17
Molise,IT-67,0
Piedmont,IT-21,22
Sardinia,IT-88,62
Sicily,IT-82,47
Trentino-Alto Adige/South Tyrol,IT-32,24
Tuscany,IT-52,26
Umbria,IT-55,32
Veneto,IT-34,34
