date,congressi,isPartial
2018-01-07,67,False
2018-01-14,22,False
2018-01-21,44,False
2018-01-28,22,False
2018-02-04,21,False
2018-02-11,66,False
2018-02-18,64,False
2018-02-25,20,False
2018-03-04,65,False
2018-03-11,66,False
2018-03-18,63,False
2018-03-25,45,False
2018-04-01,58,False
2018-04-08,45,False
2018-04-15,79,False
2018-04-22,23,False
2018-04-29,57,False
2018-05-06,22,False
2018-05-13,45,False
2018-05-20,67,False
2018-05-27,35,False
2018-06-03,46,False
2018-06-10,62,False
2018-06-17,43,False
2018-06-24,21,False
2018-07-01,22,False
2018-07-08,0,False
2018-07-15,54,False
2018-07-22,42,False
2018-07-29,21,False
2018-08-05,21,False
2018-08-12,37,False
2018-08-19,28,False
2018-08-26,0,False
2018-09-02,51,False
2018-09-09,54,False
2018-09-16,43,False
2018-09-23,65,False
2018-09-30,87,False
2018-10-07,92,False
2018-10-14,91,False
2018-10-21,45,False
2018-10-28,67,False
2018-11-04,33,False
2018-11-11,23,False
2018-11-18,44,False
2018-11-25,44,False
2018-12-02,48,False
2018-12-09,69,False
2018-12-16,46,False
2018-12-23,24,False
2018-12-30,22,False
2019-01-06,43,False
2019-01-13,21,False
2019-01-20,40,False
2019-01-27,100,False
2019-02-03,39,False
2019-02-10,30,False
2019-02-17,72,False
2019-02-24,30,False
2019-03-03,32,False
2019-03-10,71,False
2019-03-17,43,False
2019-03-24,31,False
2019-03-31,62,False
2019-04-07,30,False
2019-04-14,21,False
2019-04-21,43,False
2019-04-28,30,False
2019-05-05,40,False
2019-05-12,39,False
2019-05-19,99,False
2019-05-26,75,False
2019-06-02,21,False
2019-06-09,21,False
2019-06-16,42,False
2019-06-23,61,False
2019-06-30,21,False
2019-07-07,58,False
2019-07-14,39,False
2019-07-21,40,False
2019-07-28,59,False
2019-08-04,20,False
2019-08-11,20,False
2019-08-18,0,False
2019-08-25,19,False
2019-09-01,37,False
2019-09-08,38,False
2019-09-15,65,False
2019-09-22,95,False
2019-09-29,48,False
2019-10-06,68,False
2019-10-13,39,False
2019-10-20,48,False
2019-10-27,38,False
2019-11-03,56,False
2019-11-10,47,False
2019-11-17,29,False
2019-11-24,46,False
2019-12-01,59,False
2019-12-08,40,False
2019-12-15,59,False
2019-12-22,30,False
2019-12-29,40,False
2020-01-05,47,False
2020-01-12,36,False
2020-01-19,27,False
2020-01-26,90,False
2020-02-02,35,False
2020-02-09,54,False
2020-02-16,63,False
2020-02-23,34,False
2020-03-01,17,False
2020-03-08,0,False
2020-03-15,15,False
2020-03-22,0,False
2020-03-29,29,False
2020-04-05,32,False
2020-04-12,16,False
2020-04-19,22,False
2020-04-26,0,True
