geoName,geoCode,congressi
Abruzzo,IT-65,59
Aosta,IT-23,0
Apulia,IT-75,52
Basilicata,IT-77,36
Calabria,IT-78,70
Campania,IT-72,61
Emilia-Romagna,IT-45,82
Friuli-Venezia Giulia,IT-36,40
Lazio,IT-62,100
Liguria,IT-42,68
Lombardy,IT-25,57
Marche,IT-57,37
Molise,IT-67,91
Piedmont,IT-21,57
Sardinia,IT-88,67
Sicily,IT-82,54
Trentino-Alto Adige/South Tyrol,IT-32,32
Tuscany,IT-52,58
Umbria,IT-55,70
Veneto,IT-34,63
