geoName,geoCode,technics
Abruzzo,IT-65,95
Aosta,IT-23,0
Apulia,IT-75,79
Basilicata,IT-77,0
Calabria,IT-78,55
Campania,IT-72,70
Emilia-Romagna,IT-45,71
Friuli-Venezia Giulia,IT-36,77
Lazio,IT-62,70
Liguria,IT-42,95
Lombardy,IT-25,80
Marche,IT-57,63
Molise,IT-67,0
Piedmont,IT-21,91
Sardinia,IT-88,100
Sicily,IT-82,60
Trentino-Alto Adige/South Tyrol,IT-32,64
Tuscany,IT-52,72
Umbria,IT-55,75
Veneto,IT-34,86
