date,Bavaglini Punto Croce,isPartial
2018-01-07,56,False
2018-01-14,84,False
2018-01-21,62,False
2018-01-28,55,False
2018-02-04,54,False
2018-02-11,48,False
2018-02-18,67,False
2018-02-25,66,False
2018-03-04,66,False
2018-03-11,61,False
2018-03-18,54,False
2018-03-25,29,False
2018-04-01,29,False
2018-04-08,75,False
2018-04-15,49,False
2018-04-22,44,False
2018-04-29,35,False
2018-05-06,75,False
2018-05-13,48,False
2018-05-20,62,False
2018-05-27,49,False
2018-06-03,35,False
2018-06-10,80,False
2018-06-17,48,False
2018-06-24,42,False
2018-07-01,48,False
2018-07-08,27,False
2018-07-15,49,False
2018-07-22,42,False
2018-07-29,100,False
2018-08-05,73,False
2018-08-12,39,False
2018-08-19,91,False
2018-08-26,63,False
2018-09-02,67,False
2018-09-09,47,False
2018-09-16,66,False
2018-09-23,61,False
2018-09-30,54,False
2018-10-07,48,False
2018-10-14,42,False
2018-10-21,48,False
2018-10-28,40,False
2018-11-04,40,False
2018-11-11,28,False
2018-11-18,47,False
2018-11-25,48,False
2018-12-02,55,False
2018-12-09,69,False
2018-12-16,14,False
2018-12-23,33,False
2018-12-30,30,False
2019-01-06,34,False
2019-01-13,34,False
2019-01-20,39,False
2019-01-27,76,False
2019-02-03,45,False
2019-02-10,66,False
2019-02-17,47,False
2019-02-24,40,False
2019-03-03,42,False
2019-03-10,40,False
2019-03-17,55,False
2019-03-24,41,False
2019-03-31,27,False
2019-04-07,34,False
2019-04-14,35,False
2019-04-21,44,False
2019-04-28,27,False
2019-05-05,46,False
2019-05-12,33,False
2019-05-19,39,False
2019-05-26,31,False
2019-06-02,34,False
2019-06-09,41,False
2019-06-16,41,False
2019-06-23,42,False
2019-06-30,49,False
2019-07-07,13,False
2019-07-14,69,False
2019-07-21,49,False
2019-07-28,35,False
2019-08-04,36,False
2019-08-11,23,False
2019-08-18,58,False
2019-08-25,59,False
2019-09-01,81,False
2019-09-08,52,False
2019-09-15,19,False
2019-09-22,69,False
2019-09-29,57,False
2019-10-06,32,False
2019-10-13,51,False
2019-10-20,37,False
2019-10-27,44,False
2019-11-03,42,False
2019-11-10,31,False
2019-11-17,49,False
2019-11-24,43,False
2019-12-01,25,False
2019-12-08,32,False
2019-12-15,51,False
2019-12-22,22,False
2019-12-29,14,False
2020-01-05,25,False
2020-01-12,29,False
2020-01-19,30,False
2020-01-26,29,False
2020-02-02,47,False
2020-02-09,48,False
2020-02-16,24,False
2020-02-23,56,False
2020-03-01,56,False
2020-03-08,11,False
2020-03-15,22,False
2020-03-22,45,False
2020-03-29,62,False
2020-04-05,38,False
2020-04-12,16,False
2020-04-19,36,False
2020-04-26,45,True
