geoName,geoCode,torta cocco
Abruzzo,IT-65,100
Aosta,IT-23,0
Apulia,IT-75,82
Basilicata,IT-77,73
Calabria,IT-78,93
Campania,IT-72,69
Emilia-Romagna,IT-45,88
Friuli-Venezia Giulia,IT-36,65
Lazio,IT-62,60
Liguria,IT-42,53
Lombardy,IT-25,73
Marche,IT-57,69
Molise,IT-67,74
Piedmont,IT-21,62
Sardinia,IT-88,62
Sicily,IT-82,64
Trentino-Alto Adige/South Tyrol,IT-32,64
Tuscany,IT-52,57
Umbria,IT-55,95
Veneto,IT-34,57
