ticket_taxonomy_tag_name,ticket_geo_region_name,Year,Month,Distribution_of_tickets,Country_chosen
Schmuck anfertigen,Deutschland,2019,0,0.08782066096602727,1
Schmuck anfertigen,Deutschland,2019,1,0.06586549572452044,1
Schmuck anfertigen,Deutschland,2019,2,0.16732146984053617,1
Schmuck anfertigen,Deutschland,2019,3,0.02542177027963947,1
Schmuck anfertigen,Deutschland,2019,4,0.10630922116940143,1
Schmuck anfertigen,Deutschland,2019,5,0.1026115091287266,1
Schmuck anfertigen,Deutschland,2019,6,0.10515368615669055,1
Schmuck anfertigen,Deutschland,2019,7,0.06470996071180957,1
Schmuck anfertigen,Deutschland,2019,8,0.0924428010168708,1
Schmuck anfertigen,Deutschland,2019,9,0.042754795470302746,1
Schmuck anfertigen,Deutschland,2019,10,0.060087820660966025,1
Schmuck anfertigen,Deutschland,2019,11,0.07950080887450889,1
Schmuck anfertigen,Deutschland,2020,0,0.5773092369477911,1
Schmuck anfertigen,Deutschland,2020,1,0.16566265060240964,1
Schmuck anfertigen,Deutschland,2020,2,0.25702811244979923,1
Schmuck anfertigen,Deutschland,2020,3,0.0,1
Schmuck anfertigen,Baden-Württemberg,2019,0,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,1,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,2,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,3,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,4,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,5,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,6,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,7,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,8,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,9,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,10,NA,0
Schmuck anfertigen,Baden-Württemberg,2019,11,NA,0
Schmuck anfertigen,Baden-Württemberg,2020,0,NA,0
Schmuck anfertigen,Baden-Württemberg,2020,1,NA,0
Schmuck anfertigen,Baden-Württemberg,2020,2,NA,0
Schmuck anfertigen,Baden-Württemberg,2020,3,NA,0
Schmuck anfertigen,Baden-Württemberg,2020,4,NA,0
Schmuck anfertigen,Bayern,2019,0,NA,0
Schmuck anfertigen,Bayern,2019,1,NA,0
Schmuck anfertigen,Bayern,2019,2,NA,0
Schmuck anfertigen,Bayern,2019,3,NA,0
Schmuck anfertigen,Bayern,2019,4,NA,0
Schmuck anfertigen,Bayern,2019,5,NA,0
Schmuck anfertigen,Bayern,2019,6,NA,0
Schmuck anfertigen,Bayern,2019,7,NA,0
Schmuck anfertigen,Bayern,2019,8,NA,0
Schmuck anfertigen,Bayern,2019,9,NA,0
Schmuck anfertigen,Bayern,2019,10,NA,0
Schmuck anfertigen,Bayern,2019,11,NA,0
Schmuck anfertigen,Bayern,2020,0,NA,0
Schmuck anfertigen,Bayern,2020,1,NA,0
Schmuck anfertigen,Bayern,2020,2,NA,0
Schmuck anfertigen,Bayern,2020,3,NA,0
Schmuck anfertigen,Bayern,2020,4,NA,0
Schmuck anfertigen,Berlin,2019,0,NA,0
Schmuck anfertigen,Berlin,2019,1,NA,0
Schmuck anfertigen,Berlin,2019,2,NA,0
Schmuck anfertigen,Berlin,2019,3,NA,0
Schmuck anfertigen,Berlin,2019,4,NA,0
Schmuck anfertigen,Berlin,2019,5,NA,0
Schmuck anfertigen,Berlin,2019,6,NA,0
Schmuck anfertigen,Berlin,2019,7,NA,0
Schmuck anfertigen,Berlin,2019,8,NA,0
Schmuck anfertigen,Berlin,2019,9,NA,0
Schmuck anfertigen,Berlin,2019,10,NA,0
Schmuck anfertigen,Berlin,2019,11,NA,0
Schmuck anfertigen,Berlin,2020,0,NA,0
Schmuck anfertigen,Berlin,2020,1,NA,0
Schmuck anfertigen,Berlin,2020,2,NA,0
Schmuck anfertigen,Berlin,2020,3,NA,0
Schmuck anfertigen,Berlin,2020,4,NA,0
Schmuck anfertigen,Brandenburg,2019,0,NA,0
Schmuck anfertigen,Brandenburg,2019,1,NA,0
