date,saracinesca,isPartial
2018-01-07,51,False
2018-01-14,97,False
2018-01-21,33,False
2018-01-28,69,False
2018-02-04,42,False
2018-02-11,43,False
2018-02-18,55,False
2018-02-25,63,False
2018-03-04,48,False
2018-03-11,52,False
2018-03-18,56,False
2018-03-25,48,False
2018-04-01,57,False
2018-04-08,43,False
2018-04-15,81,False
2018-04-22,56,False
2018-04-29,74,False
2018-05-06,46,False
2018-05-13,43,False
2018-05-20,83,False
2018-05-27,61,False
2018-06-03,54,False
2018-06-10,64,False
2018-06-17,66,False
2018-06-24,40,False
2018-07-01,49,False
2018-07-08,56,False
2018-07-15,81,False
2018-07-22,61,False
2018-07-29,69,False
2018-08-05,56,False
2018-08-12,45,False
2018-08-19,70,False
2018-08-26,78,False
2018-09-02,52,False
2018-09-09,62,False
2018-09-16,58,False
2018-09-23,62,False
2018-09-30,46,False
2018-10-07,70,False
2018-10-14,47,False
2018-10-21,53,False
2018-10-28,46,False
2018-11-04,57,False
2018-11-11,30,False
2018-11-18,68,False
2018-11-25,43,False
2018-12-02,67,False
2018-12-09,37,False
2018-12-16,48,False
2018-12-23,43,False
2018-12-30,72,False
2019-01-06,57,False
2019-01-13,52,False
2019-01-20,50,False
2019-01-27,40,False
2019-02-03,53,False
2019-02-10,63,False
2019-02-17,74,False
2019-02-24,70,False
2019-03-03,43,False
2019-03-10,42,False
2019-03-17,67,False
2019-03-24,63,False
2019-03-31,46,False
2019-04-07,49,False
2019-04-14,64,False
2019-04-21,56,False
2019-04-28,49,False
2019-05-05,60,False
2019-05-12,73,False
2019-05-19,97,False
2019-05-26,58,False
2019-06-02,75,False
2019-06-09,62,False
2019-06-16,76,False
2019-06-23,50,False
2019-06-30,60,False
2019-07-07,48,False
2019-07-14,60,False
2019-07-21,54,False
2019-07-28,61,False
2019-08-04,39,False
2019-08-11,52,False
2019-08-18,66,False
2019-08-25,41,False
2019-09-01,69,False
2019-09-08,41,False
2019-09-15,39,False
2019-09-22,100,False
2019-09-29,64,False
2019-10-06,53,False
2019-10-13,71,False
2019-10-20,89,False
2019-10-27,33,False
2019-11-03,35,False
2019-11-10,71,False
2019-11-17,62,False
2019-11-24,62,False
2019-12-01,55,False
2019-12-08,31,False
2019-12-15,43,False
2019-12-22,43,False
2019-12-29,45,False
2020-01-05,94,False
2020-01-12,71,False
2020-01-19,49,False
2020-01-26,68,False
2020-02-02,48,False
2020-02-09,79,False
2020-02-16,57,False
2020-02-23,65,False
2020-03-01,62,False
2020-03-08,60,False
2020-03-15,57,False
2020-03-22,46,False
2020-03-29,50,False
2020-04-05,32,False
2020-04-12,52,False
2020-04-19,74,False
2020-04-26,56,True
