geoName,geoCode,saracinesca
Abruzzo,IT-65,31
Aosta,IT-23,0
Apulia,IT-75,43
Basilicata,IT-77,69
Calabria,IT-78,45
Campania,IT-72,47
Emilia-Romagna,IT-45,22
Friuli-Venezia Giulia,IT-36,15
Lazio,IT-62,33
Liguria,IT-42,35
Lombardy,IT-25,35
Marche,IT-57,12
Molise,IT-67,0
Piedmont,IT-21,17
Sardinia,IT-88,31
Sicily,IT-82,100
Trentino-Alto Adige/South Tyrol,IT-32,17
Tuscany,IT-52,50
Umbria,IT-55,0
Veneto,IT-34,29
