geoName,geoCode,Lieferung Lebensmittel
Baden-Württemberg,DE-BW,37
Bavaria,DE-BY,50
Berlin,DE-BE,59
Brandenburg,DE-BB,100
Bremen,DE-HB,0
Hamburg,DE-HH,46
Hesse,DE-HE,66
Lower Saxony,DE-NI,27
Mecklenburg-Vorpommern,DE-MV,63
North Rhine-Westphalia,DE-NW,46
Rhineland-Palatinate,DE-RP,31
Saarland,DE-SL,56
Saxony,DE-SN,27
Saxony-Anhalt,DE-ST,31
Schleswig-Holstein,DE-SH,49
Thuringia,DE-TH,0
