date,Hochzeitssaal,isPartial
2018-01-07,78,False
2018-01-14,62,False
2018-01-21,50,False
2018-01-28,47,False
2018-02-04,51,False
2018-02-11,76,False
2018-02-18,39,False
2018-02-25,48,False
2018-03-04,27,False
2018-03-11,51,False
2018-03-18,52,False
2018-03-25,74,False
2018-04-01,65,False
2018-04-08,43,False
2018-04-15,44,False
2018-04-22,64,False
2018-04-29,41,False
2018-05-06,54,False
2018-05-13,54,False
2018-05-20,38,False
2018-05-27,52,False
2018-06-03,61,False
2018-06-10,38,False
2018-06-17,45,False
2018-06-24,52,False
2018-07-01,48,False
2018-07-08,45,False
2018-07-15,34,False
2018-07-22,22,False
2018-07-29,41,False
2018-08-05,34,False
2018-08-12,31,False
2018-08-19,47,False
2018-08-26,100,False
2018-09-02,58,False
2018-09-09,64,False
2018-09-16,68,False
2018-09-23,52,False
2018-09-30,80,False
2018-10-07,61,False
2018-10-14,30,False
2018-10-21,56,False
2018-10-28,51,False
2018-11-04,60,False
2018-11-11,29,False
2018-11-18,60,False
2018-11-25,44,False
2018-12-02,58,False
2018-12-09,21,False
2018-12-16,57,False
2018-12-23,76,False
2018-12-30,50,False
2019-01-06,73,False
2019-01-13,75,False
2019-01-20,77,False
2019-01-27,58,False
2019-02-03,48,False
2019-02-10,48,False
2019-02-17,46,False
2019-02-24,41,False
2019-03-03,62,False
2019-03-10,42,False
2019-03-17,56,False
2019-03-24,52,False
2019-03-31,32,False
2019-04-07,69,False
2019-04-14,50,False
2019-04-21,61,False
2019-04-28,43,False
2019-05-05,39,False
2019-05-12,61,False
2019-05-19,49,False
2019-05-26,41,False
2019-06-02,80,False
2019-06-09,35,False
2019-06-16,85,False
2019-06-23,29,False
2019-06-30,46,False
2019-07-07,54,False
2019-07-14,33,False
2019-07-21,50,False
2019-07-28,24,False
2019-08-04,40,False
2019-08-11,47,False
2019-08-18,62,False
2019-08-25,61,False
2019-09-01,40,False
2019-09-08,72,False
2019-09-15,57,False
2019-09-22,64,False
2019-09-29,95,False
2019-10-06,42,False
2019-10-13,50,False
2019-10-20,41,False
2019-10-27,73,False
2019-11-03,42,False
2019-11-10,51,False
2019-11-17,48,False
2019-11-24,55,False
2019-12-01,29,False
2019-12-08,61,False
2019-12-15,47,False
2019-12-22,68,False
2019-12-29,58,False
2020-01-05,88,False
2020-01-12,62,False
2020-01-19,82,False
2020-01-26,28,False
2020-02-02,63,False
2020-02-09,42,False
2020-02-16,67,False
2020-02-23,52,False
2020-03-01,60,False
2020-03-08,47,False
2020-03-15,23,False
2020-03-22,18,False
2020-03-29,20,False
2020-04-05,22,False
2020-04-12,55,True
