date,Lüftungsanlagen,isPartial
2018-01-07,71,False
2018-01-14,70,False
2018-01-21,45,False
2018-01-28,80,False
2018-02-04,93,False
2018-02-11,46,False
2018-02-18,46,False
2018-02-25,61,False
2018-03-04,72,False
2018-03-11,71,False
2018-03-18,83,False
2018-03-25,82,False
2018-04-01,55,False
2018-04-08,47,False
2018-04-15,81,False
2018-04-22,78,False
2018-04-29,38,False
2018-05-06,60,False
2018-05-13,46,False
2018-05-20,76,False
2018-05-27,85,False
2018-06-03,71,False
2018-06-10,100,False
2018-06-17,61,False
2018-06-24,42,False
2018-07-01,62,False
2018-07-08,36,False
2018-07-15,69,False
2018-07-22,53,False
2018-07-29,85,False
2018-08-05,58,False
2018-08-12,43,False
2018-08-19,58,False
2018-08-26,79,False
2018-09-02,68,False
2018-09-09,83,False
2018-09-16,67,False
2018-09-23,42,False
2018-09-30,63,False
2018-10-07,62,False
2018-10-14,41,False
2018-10-21,66,False
2018-10-28,45,False
2018-11-04,29,False
2018-11-11,90,False
2018-11-18,83,False
2018-11-25,65,False
2018-12-02,89,False
2018-12-09,30,False
2018-12-16,66,False
2018-12-23,44,False
2018-12-30,37,False
2019-01-06,95,False
2019-01-13,70,False
2019-01-20,51,False
2019-01-27,47,False
2019-02-03,57,False
2019-02-10,73,False
2019-02-17,29,False
2019-02-24,64,False
2019-03-03,58,False
2019-03-10,62,False
2019-03-17,79,False
2019-03-24,69,False
2019-03-31,59,False
2019-04-07,93,False
2019-04-14,48,False
2019-04-21,83,False
2019-04-28,53,False
2019-05-05,81,False
2019-05-12,59,False
2019-05-19,73,False
2019-05-26,40,False
2019-06-02,53,False
2019-06-09,55,False
2019-06-16,45,False
2019-06-23,20,False
2019-06-30,59,False
2019-07-07,39,False
2019-07-14,46,False
2019-07-21,53,False
2019-07-28,54,False
2019-08-04,42,False
2019-08-11,70,False
2019-08-18,30,False
2019-08-25,79,False
2019-09-01,39,False
2019-09-08,88,False
2019-09-15,44,False
2019-09-22,48,False
2019-09-29,72,False
2019-10-06,57,False
2019-10-13,75,False
2019-10-20,84,False
2019-10-27,92,False
2019-11-03,44,False
2019-11-10,50,False
2019-11-17,81,False
2019-11-24,53,False
2019-12-01,55,False
2019-12-08,32,False
2019-12-15,42,False
2019-12-22,24,False
2019-12-29,29,False
2020-01-05,66,False
2020-01-12,47,False
2020-01-19,48,False
2020-01-26,73,False
2020-02-02,69,False
2020-02-09,59,False
2020-02-16,96,False
2020-02-23,59,False
2020-03-01,46,False
2020-03-08,48,False
2020-03-15,43,False
2020-03-22,51,False
2020-03-29,23,False
2020-04-05,34,False
2020-04-12,45,False
2020-04-19,55,False
2020-04-26,42,False
2020-05-03,55,False
2020-05-10,63,False
2020-05-17,66,True
