geoName,geoCode,Lüftungsanlagen
Baden-Württemberg,DE-BW,39
Bavaria,DE-BY,59
Berlin,DE-BE,36
Brandenburg,DE-BB,54
Bremen,DE-HB,95
Hamburg,DE-HH,50
Hesse,DE-HE,40
Lower Saxony,DE-NI,30
Mecklenburg-Vorpommern,DE-MV,55
North Rhine-Westphalia,DE-NW,54
Rhineland-Palatinate,DE-RP,51
Saarland,DE-SL,0
Saxony,DE-SN,27
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,40
Thuringia,DE-TH,0
