geoName,geoCode,spose
Abruzzo,IT-65,94
Aosta,IT-23,72
Apulia,IT-75,58
Basilicata,IT-77,98
Calabria,IT-78,67
Campania,IT-72,70
Emilia-Romagna,IT-45,74
Friuli-Venezia Giulia,IT-36,41
Lazio,IT-62,86
Liguria,IT-42,58
Lombardy,IT-25,76
Marche,IT-57,79
Molise,IT-67,73
Piedmont,IT-21,100
Sardinia,IT-88,49
Sicily,IT-82,75
Trentino-Alto Adige/South Tyrol,IT-32,43
Tuscany,IT-52,59
Umbria,IT-55,48
Veneto,IT-34,58
