geoName,geoCode,Fliegengitter
Burgenland,AT-1,96
Carinthia,AT-2,63
Lower Austria,AT-3,100
Salzburg,AT-5,69
Styria,AT-6,80
Tyrol,AT-7,69
Upper Austria,AT-4,67
Vienna,AT-9,64
Vorarlberg,AT-8,55
