geoName,geoCode,kit panneau solaire
Brittany,FR-E,51.28205128205128
Centre-Val de Loire,FR-F,32.05128205128205
Corsica,FR-H,0.0
Pays de la Loire,FR-R,44.871794871794876
Provence-Alpes-Côte d'Azur,FR-U,53.84615384615385
Île-de-France,FR-J,28.205128205128204
Grand-est,FR-GE,58.97435897435898
Hauts-de-france,FR-HF,67.3076923076923
Normandie,FR-NO,29.48717948717949
Bourgogne-Franche-Comté,FR-BFC,40.38461538461539
Nouvelle-Aquitaine,FR-NA,54.7008547008547
Occitanie,FR-OC,94.87179487179486
Auvergne-Rhône-Alpes,FR-AR,100.0
