date,kit panneau solaire
2018-01-07,0.275
2018-01-14,0.26875
2018-01-21,0.54375
2018-01-28,0.28125
2018-02-04,0.53125
2018-02-11,0.0
2018-02-18,0.0
2018-02-25,0.5375
2018-03-04,0.40625
2018-03-11,0.0
2018-03-18,0.0
2018-03-25,0.0
2018-04-01,0.56875
2018-04-08,0.5625
2018-04-15,0.0
2018-04-22,0.26875
2018-04-29,0.2625
2018-05-06,0.26875
2018-05-13,0.0
2018-05-20,0.3
2018-05-27,0.26875
2018-06-03,0.2625
2018-06-10,0.54375
2018-06-17,0.40625
2018-06-24,0.59375
2018-07-01,0.30625
2018-07-08,0.0
2018-07-15,0.2625
2018-07-22,0.0
2018-07-29,0.5625
2018-08-05,0.24375
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,0.2625
2018-09-02,0.26875
2018-09-09,0.2625
2018-09-16,0.53125
2018-09-23,0.0
2018-09-30,0.6
2018-10-07,0.76875
2018-10-14,0.275
2018-10-21,0.2875
2018-10-28,0.0
2018-11-04,0.83125
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.58125
2018-12-02,0.55
2018-12-09,0.26875
2018-12-16,0.0
2018-12-23,0.625
2018-12-30,0.0
2019-01-06,0.31875
2019-01-13,0.26875
2019-01-20,0.0
2019-01-27,0.3
2019-02-03,0.30625
2019-02-10,0.58125
2019-02-17,0.0
2019-02-24,0.625
2019-03-03,0.0
2019-03-10,0.275
2019-03-17,0.60625
2019-03-24,0.0
2019-03-31,0.3625
2019-04-07,0.3125
2019-04-14,0.3625
2019-04-21,0.30625
2019-04-28,0.3375
2019-05-05,0.23125
2019-05-12,0.3125
2019-05-19,0.85
2019-05-26,0.7
2019-06-02,0.0
2019-06-09,0.61875
2019-06-16,0.30625
2019-06-23,0.64375
2019-06-30,0.43125
2019-07-07,0.0
2019-07-14,0.2125
2019-07-21,0.28125
2019-07-28,0.0
2019-08-04,1.0
2019-08-11,0.6
2019-08-18,0.35
2019-08-25,0.5
2019-09-01,0.56875
2019-09-08,0.21875
2019-09-15,0.2125
2019-09-22,0.20625
2019-09-29,0.20625
2019-10-06,0.50625
2019-10-13,0.49375
2019-10-20,0.0
2019-10-27,0.21875
2019-11-03,0.26875
2019-11-10,0.48125
2019-11-17,0.99375
2019-11-24,0.69375
2019-12-01,0.0
2019-12-08,0.49375
2019-12-15,0.21875
2019-12-22,0.2375
2019-12-29,0.2875
2020-01-05,0.475
2020-01-12,0.4625
2020-01-19,0.4125
2020-01-26,0.30625
2020-02-02,0.2125
2020-02-09,0.30625
2020-02-16,0.0
2020-02-23,0.20625
2020-03-01,0.20625
2020-03-08,0.2
2020-03-15,0.4125
2020-03-22,0.40625
2020-03-29,0.18125
2020-04-05,0.4375
2020-04-12,0.275
2020-04-19,0.4
2020-04-26,0.475
2020-05-03,0.4
2020-05-10,0.1875
2020-05-17,0.45625
2020-05-24,0.625
2020-05-31,0.35625
2020-06-07,0.3625
2020-06-14,0.38125
2020-06-21,0.0
