geoName,geoCode,Gazon synthétique
Brittany,FR-E,24.719101123595504
Centre-Val de Loire,FR-F,29.213483146067414
Corsica,FR-H,48.31460674157304
Pays de la Loire,FR-R,29.213483146067414
Provence-Alpes-Côte d'Azur,FR-U,100.0
Île-de-France,FR-J,22.47191011235955
Grand-est,FR-GE,35.58052434456929
Hauts-de-france,FR-HF,25.280898876404496
Normandie,FR-NO,25.280898876404496
Bourgogne-Franche-Comté,FR-BFC,32.02247191011236
Nouvelle-Aquitaine,FR-NA,42.32209737827715
Occitanie,FR-OC,76.96629213483146
Auvergne-Rhône-Alpes,FR-AR,42.13483146067416
