geoName,geoCode,Innenausbau
Burgenland,AT-1,31
Carinthia,AT-2,50
Lower Austria,AT-3,29
Salzburg,AT-5,100
Styria,AT-6,55
Tyrol,AT-7,38
Upper Austria,AT-4,20
Vienna,AT-9,31
Vorarlberg,AT-8,86
