geoName,geoCode,Innenausbau
Baden-Württemberg,DE-BW,69
Bavaria,DE-BY,58
Berlin,DE-BE,42
Brandenburg,DE-BB,47
Bremen,DE-HB,62
Hamburg,DE-HH,39
Hesse,DE-HE,59
Lower Saxony,DE-NI,51
Mecklenburg-Vorpommern,DE-MV,54
North Rhine-Westphalia,DE-NW,70
Rhineland-Palatinate,DE-RP,73
Saarland,DE-SL,60
Saxony,DE-SN,54
Saxony-Anhalt,DE-ST,30
Schleswig-Holstein,DE-SH,43
Thuringia,DE-TH,100
