geoName,geoCode,Landschaftsgärtner
Burgenland,AT-1,0
Carinthia,AT-2,0
Lower Austria,AT-3,67
Salzburg,AT-5,84
Styria,AT-6,43
Tyrol,AT-7,22
Upper Austria,AT-4,59
Vienna,AT-9,22
Vorarlberg,AT-8,100
