geoName,geoCode,Außenputz
Baden-Württemberg,DE-BW,28
Bavaria,DE-BY,48
Berlin,DE-BE,31
Brandenburg,DE-BB,44
Bremen,DE-HB,0
Hamburg,DE-HH,16
Hesse,DE-HE,40
Lower Saxony,DE-NI,25
Mecklenburg-Vorpommern,DE-MV,34
North Rhine-Westphalia,DE-NW,31
Rhineland-Palatinate,DE-RP,80
Saarland,DE-SL,100
Saxony,DE-SN,33
Saxony-Anhalt,DE-ST,38
Schleswig-Holstein,DE-SH,22
Thuringia,DE-TH,46
